0,1,2,3
"Status of the 
Projects","No. of 
Projects","No. of 
Rooms","Investment 
Value  
(USD Mn)"
"Final approval 
granted",326,"18,364","2,895.3"
Under construction,115,"7,460","1,044.2"
"Projects in 
operation",171,"9,143","1,640.0"
"Projects not yet 
started",40,"1,761",181.6
