0,1,2,3,4
Visitor activities 1,Reading/video,Reference/ recording,"Reference/data 
collection","Tourist 
Information"
Restoration,Nursery work,Replanting,"Restoration/replanti
ng",Area cleaning
Monitoring,Watering/fertilising,Aftercare of plants,Aftercare of plants,-
Visitor activities 2,Village walk,Go fishing,Help agriculture,Visit attraction
Visitor activities 3,See culture,Round tour,"Excursions-other 
areas",-
