0,1,2,3,4
odel (options)->,I,II,III,IV
Visitor day activities,"Nature 
walk/ 
tracking","Boating/ 
bird 
watching","Observation 
and  
recording","Nature 
walk/boating"
Accommodation,Home stay,Camping,Ecolodge/s,-
Knowledge centre,"Nature Information 
Centre",Nature Library,"Nature 
Research 
Centre","M
Nature 
Infomation 
Centre"
