0,1,2,3
Puttalam,3210,Gampaha,313
Jaffna,2276,Galle,238
Trincomalee,2043,Ampara,100
Batticaloa,1303,Colombo,39
Kilinochchi,770,Kalutara,12
Hambantota,576  Matara,,7
Mullaitivu,428,Total,12189*
