0,1
Top primary  markets – April  2023,
India,Switzerlands
"Arrivals : 19,915 | % Share: 19.0","Arrivals: 2,091|  % Share 1.9"
,Spain
Russia,
,"Arrivals: 1,619 | % Share: 1.5"
"Arrivals: 14,656 | % Share: 14.0",
