0,1,2,3,4,5,6,7,8,9
Monthly Tourist Arrivals Report | May  2022,,,,,,,,14,
,,May  2022,,,,Total,Total,,%
,,,,Tourist,%,,,,
,,,,,,Tourist,Tourist,,Change
,,,,Arrivals,Change,,,,
,,Tourist Arrivals,,,,Arrivals up,Arrivals up,,up to
,,,,May,May,,,,
,,,,,,to May,to May,,May
,,,,2021,(22/21),,,,
,By Air,By Sea,Total,,,2022,2021,,(20/21)
Western,,,,,,,,,
,"4,747",-,"4,747",315,-,"69,725","2,147",,-
Europe,,,,,,,,,
Austria,189,-,189,9,-,"3,493",103,,-
Belgium,212,-,212,1,-,"2,934",39,,-
France,"1,076",-,"1,076",27,-,"20,167",227,,-
Germany,"2,208",-,"2,208",222,-,"30,976","1,371",,-
Netherlands,483,-,483,11,-,"5,853",137,,-
Switzerland,570,-,570,45,-,"6,141",258,,-
Others,9,-,9,0,-,161,12,,-
Central/,,-,,,,,,,
Eastern,,,,,-,,,,-
,"4,062",,"4,062",159,,"99,895","7,122",,
Europe,,,,,,,,,
Belarus,68,-,68,0,-,"2,271",81,,-
Czech,,,,,,,,,
,83,-,83,5,-,"5,800",126,,-
Republic,,,,,,,,,
Estonia,12,-,12,0,-,756,33,,-
Hungary,33,-,33,0,-,"1,685",19,,-
Kazakhstan,28,-,28,2,-,"7,610","3,188",,-
Lithuania,50,-,50,1,-,"1,569",19,,-
Poland,203,-,203,9,-,"12,409",91,,-
Romania,50,-,50,2,-,"2,346",40,,-
Russia,"3,202",-,"3,202",94,-,"44,793",603,,-
Slovakia,66,-,66,8,-,"1,693",87,,-
Ukraine,84,-,84,18,-,"13,705","2,657",,-
Others,183,-,183,20,-,"5,258",178,,-
Southern/,,-,,,,,,,
Mediterranea,,,,,-,,,,-
,"1,382",,"1,382",76,,"16,032",400,,
Europe,,,,,,,,,
Greece,25,-,25,2,-,500,10,,-
Italy,329,-,329,29,-,"2,699",131,,-
Portugal,64,-,64,1,-,1063,17,,-
Spain,692,-,692,20,-,"4,592",104,,-
Turkey,66,-,66,9,-,872,39,,-
Israel,150,-,150,8,-,"4,679",56,,-
Others,56,-,56,7,-,"1,627",43,,-
