0,1,2,3
"Status of the 
Projects","No. of 
Projects","No. of 
Rooms","Investment 
Value  
(USD Mn)"
"Final approval 
granted",337,"18,496","2,900.1"
"Under 
construction",113,"7,053",977.5
"Projects in 
operation",182,"9,656","1,739.7"
"Projects not yet 
started",42,"1,787",182.9
