0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, November  2022",,,,,
,,,Tourist Arrivals ( November  2022),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,By Air,By Sea,Total,(November 2021)
1,Russian Federation,"13,817",3,"13,820",3520
2,India,"10,166",1,"10,167",14236
3,Germany,"3,315","1,854","5,169",2667
4,United Kingdom,"4,486",20,"4,506","3,770"
5,Australia,"2,826",113,"2,939",940
6,United States,"1,647",442,"2,089","1,178"
7,Canada,"1,963",31,"1,994","1,161"
8,France,"1,837",4,"1,841","1,447"
9,Maldives,"1,626",-,"1,626","1,464"
10,Switzerland,797,35,832,698
