0,1,2,3,4,5,6,7,8,9
Monthly Tourist Arrivals Report | November  2022,,,,,,,,15,
,,,,,,,Total,,
,,,,,,,,,%
,,,,Tourist,%,Total,Tourist,,
,,,,,,,,,Change
,,November   2022,,Arrivals,Change,Tourist,Arrivals,,
,,,,,,,,,up to
,,,,Nov,Nov,Arrivals up,up to,,
,,Tourist Arrivals,,,,,,,
,,,,,,,,,Nov
,,,,2021,(22/21),to   Nov,Nov,,
,,,,,,,,,(20/21)
,By Air,By Sea,Total,,,,,,
,,,,,,2022,2021,,
ASIA &,"19,248",140,"19,388","21,623",(10.3),"181,092","50,658",,-
PACIFIC,,,,,,,,,
North East,"1,265",-,"1,265",468,170.3,"8,318","2,684",,-
Asia,,,,,,,,,
China,591,-,591,201,194.0,"4,080","2,159",,-
Japan,377,-,377,103,266.0,"2,379",233,,-
South Korea,237,-,237,162,46.3,"1,521",269,,-
Taiwan,59,-,59,2,"2,850.0",286,23,,-
Others,1,-,1,0,-,52,0,,-
South East,"1,413",1,"1,414","1,269",11.4,"10,064","2,618",,-
Asia,,,,,,,,,
Cambodia,43,-,43,4,975.0,137,7,,-
Indonesia,103,-,103,806,(87.2),751,"1,668",,-
Malaysia,350,-,350,97,260.8,"2,260",165,,-
Myanmar,14,-,14,9,55.6,225,30,,-
Philippines,148,1,149,116,28.4,"1,725",351,,-
Singapore,432,-,432,167,158.7,"3,050",251,,-
Thailand,282,-,282,62,354.8,"1,414",118,,-
Vietnam,37,-,37,8,362.5,461,28,,-
Others,4,-,4,0,-,41,0,,-
Oceania,"3,114",138,"3,252","1,028",216.3,"28,122",1464,,-
Australia,"2,826",113,"2,939",940,212.7,"25,766","1,292",,-
New Zealand,282,25,307,80,283.8,"2,294",158,,-
Others,6,-,6,8,(25.0),62,14,,-
South Asia,"13,456",1,"13,457","18,858",(28.6),"134,588","43,892",,-
Afghanistan,7,-,7,1,600.0,28,10,,-
Bangladesh,511,-,511,372,37.4,"3,155",952,,-
Bhutan,31,-,31,2,"1,450.0",130,4,,-
India,"10,166",1,"10,167","14,236",(28.6),"105,654","32,702",,-
Iran,206,-,206,106,94.3,"3,939",216,,-
Maldives,"1,626",-,"1,626","1,464",11.1,"15,436","3,376",,-
Nepal,126,-,126,65,93.8,884,116,,-
Pakistan,783,-,783,"2,612",(70.0),"5,362","6,516",,-
EUROPE,"32,398","2,029","34,427","18,545",85.6,"382,039","44,792",,-
Northern,"5,759",22,"5,781","4,753",21.6,"98,103","10,422",,-
Europe,,,,,,,,,
Denmark,312,-,312,316,(1.3),"6,727",646,,-
Finland,76,1,77,65,18.5,"1,341",146,,-
Norway,332,-,332,237,40.1,"5,575",694,,-
Sweden,408,1,409,264,54.9,"4,205",531,,-
United,"4,486",20,"4,506","3,770",19.5,"77,308","8,153",,-
Kingdom,,,,,,,,,
Others,145,-,145,101,43.6,"2,947",252,,-
