0,1,2,3,4,5,6
,2014,,,2015 *,,
Country of Nationality,Arrivals,"Average
Duration of
stay**","Tourist     
nights**",Arrivals,"Average
Duration of
stay","Tourist 
nights"
NORTH AMERICA,"72,653",12.1,"876,991","84,943",12.7,"1,071,740"
Canada,"33,282",11.8,"392,728","37,732",12.5,"471,940"
U.S.A.,"39,371",12.3,"484,263","47,211",12.7,"599,800"
Latin America & The Caribbean,"4,124",8.7,"35,879","4,628",9.2,"41,969"
WESTERN EUROPE,"479,007",14.1,"6,705,348","552,442",14.3,"7,895,991"
Austria,"12,664",16.0,"202,624","14,253",14.8,"211,427"
Belgium,"9,915",11.0,"109,065","13,054",11.1,"144,306"
Denmark,"11,239",17.8,"200,054","15,203",16.1,"244,192"
Finland,"2,903",16.0,"46,448","3,830",14.0,"53,557"
France,"78,883",12.5,"986,038","86,126",13.0,"1,122,967"
Germany,"102,977",15.8,"1,627,037","115,868",15.1,"1,751,610"
Italy,"21,116",15.3,"323,075","24,293",13.9,"337,406"
Netherlands,"24,196",17.3,"418,591","32,742",16.6,"544,467"
Norway,"9,237",8.5,"78,515","12,007",9.9,"119,118"
Spain,"11,914",11.8,"140,585","15,582",11.2,"175,196"
Sweden,"14,259",14.3,"203,904","18,423",15.1,"278,506"
Switzerland,"20,097",15.5,"311,504","22,418",14.3,"319,836"
U.K.,"144,168",13.0,"1,874,184","161,845",14.7,"2,385,490"
Others,"15,439",11.9,"183,724","16,798",12.4,"207,913"
EASTERN EUROPE,"154,153",8.6,"1,340,971","148,458",8.4,"1,243,869"
Russia,"69,718",10.0,"679,180","61,846",10.5,"648,842"
Ukraine,"29,882",8.4,"251,009","23,853",7.2,"172,189"
Others,"54,553",7.2,"392,782","62,759",6.7,"422,838"
MIDDLE EAST,"88,991",9.5,"845,415",101.066,10.5,"1,046,035"
AFRICA,"12,163",8.6,"104,602","12,899",7.1,"89,004"
ASIA,"650,810",6.5,"4,366,376","822,272",7.4,"5,997,899"
China (P.R.),"128,166",9.8,"1,256,027","214,783",9.5,"2,033,425"
India,"242,734",5.3,"1,286,490","316,247",5.8,"1,819,894"
Indonesia,"29,558",3.0,"88,674","23,305",5.0,"116,808"
Japan,"39,136",9.7,"379,619","39,358",8.6,"339,738"
Korea (South),"13,412",5.0,"67,060","14,373",6.6,"94,718"
Malaysia,"23,178",7.0,"162,246","22,772",7.9,"179,659"
Maldives,"86,359",7.0,"604,513","90,617",8.9,"807,438"
Pakistan,"25,424",4.5,"114,408","32,300",5.6,"179,880"
Philippines,"11,160",6.0,"66,960","11,305",5.0,"56,662"
Singapore,"15,762",7.5,"118,215","15,846",8.0,"126,480"
Thai land,"9,260",8.5,"78,710","10,112q",8.0,"80,717"
Bangaladesh,"10,754",5.5,"59,147","13,358",4.8,"64,472"
Others,"15,907",5.3,"84,307","17,896",5.5,"98,002"
AUSTRALASIA,"65,252",11.1,"803,136","71,672",10.8,"777,131"
Australia,"57,940",12.0,"695,280","63,554",10.7,"677,967"
New Zealand,"6,880",15.3,"105,264","7,762",12.6,"97,680"
Others,432,6.0,"2,592",356,4.2,"1,484"
TOTAL,"1,527,153",9.9,"15,118,815","1,798,380",10.1,"18,163,638"
