0,1,2,3,4,5
"Share of Total Seating Capacity
60.00
50.00
40.00
30.00
20.00
10.00
0
Srilankan Airlines","Others
mirates
m an Air
E
O
Fly D ubai
Jet Airw ays
M ihin Lanka
Air A sia X **
Q atar Airw ays
Ethihad Airw ays
C athey Pacific Airw ays",,,,
,,Airline,Winter,Summer,
,,Srilankan Airlines,48.82,50.10,
,,Mihin Lanka,7.79,8.25,
,,Emirates,6.82,6.69,
,,Qatar Airways,4.96,4.86,
,,Fly Dubai,3.13,3.06,
,,Ethihad Airways,2.89,2.83,
,,Air Asia X **,2.08,2.04,
,,Cathey Pacific Airways,1.88,1.84,
,,Jet Airways,1.85,1.82,
,,Oman Air,1.72,2.41,
,,Others,18.06,16.10,
,"Winter
Summer
Air Lines",,,,
