0,1,2,3,4,5,6
Location,Local Tickets,,Foreign Tickets,,"Total No. of 
Visitors","Total Revenue 
(in Rs.)"
,No. of Visitors,Revenue (in Rs.),No. of Visitors,Revenue (in Rs.),,
1. Yala National Park,"308,790","17,983,898.00","236,217","419,311,792.69","545,007","437,295,690.69"
2. Wilpattu National Park,"49,068","2,749,216.30","19,505","37,275,239.39","68,573","40,024,455.69"
3. Kumana National Park,"21,996","836,510.00","4,920","6,307,950.00","26,916","7,144,460.00"
4. Udawalawa National Park,"113,424","6,731,040.00","89,116","172,954,738.31","202,540","179,685,778.31"
5. Horton Plains National Park,"228,858","12,765,810.00","87,962","187,525,959.55","316,820","200,291,769.55"
6. Bundala National Park,"8,663","343,460.00","8,619","11,011,329.45","17,282","11,354,789.45"
7. Wasgamuwa National Park,"20,338","772,750.00","1,069","1,249,783.45","21,407","2,022,533.45"
8. Minneriya National Park,"65,203","3,804,602.76","61,683","120,782,977.61","126,886","124,587,580.37"
9. Kaudulla National Park,"15,058","590,360.00","15,959","21,122,020.00","31,017","21,712,380.00"
10. Lunugamvehera National Park,"6,808","282,000.00","3,539","4,525,950.00","10,347","4,807,950.00"
11. Gal Oya National Park,"5,059","162,360.00","1,384","746,780.00","6,443","909,140.00"
12. Horagolla National Park,"5,019","191,160.00",13,"16,975.00","5,032","208,135.00"
13.  Maduru Oya National Park,863,"34,700.00",142,"181,882.50","1,005","216,582.50"
14. Angammedilla National Park,"2,041","82,000.00",6,"10,370.00","2,047","92,370.00"
15. Galwaysland National Park,"2,047","79,520.00",49,"60,650.00","2,096","140,170.00"
16. Lahugala National Park,234,"9,360.00",10,"13,700.00",244,"23,060.00"
17. Pigeon Island National Park,"58,774","2,312,050.00","19,069","23,521,413.00","77,843","25,833,463.00"
18. Hikkaduwa National Park,"25,041","100,652.50","4,480","128,130.00","29,521","228,782.50"
19. Bareef - Kalpitiya,"13,269","262,380.00","4,779","4,837,632.00","18,048","5,100,012.00"
Total,"950,553","50,093,829.56","558,521","1,011,585,272.95","1,509,074","1,061,679,102.51"
