0,1,2,3,4,5,6,7
,,Grade,,,,,
,,,,,,The table 09 depicts,the
,,,,Total,Total,,
,A,B,,,,,distribution  of  SLTDA  registered
District,,,Provisional,number of,number of,,
,,,,,,restaurants,in  each  district.  The
,,,status,restaurants,restaurants,,
,,,,,,total number of,SLTDA
,,,,2022,2021,,
,,,,,,,registered  restaurants  in  2022  are
Anuradhapura,2,2,5,9,6,,
,,,,,,639.  Among them 65.6%,are
Badulla,3,2,1,6,6,,
,,,,,,,Grade  A  restaurants  while  17.3%
Batticaloa,0,1,1,2,1,,
,,,,,,,are  grade  B  restaurants.  17%  of
Colombo,255,39,41,335,296,,
,,,,,,restaurants  have been,awarded
Galle,32,8,9,49,37,,
,,,,,,provisional,licenses.
Gampaha,45,22,14,81,68,,
Hambantota,2,0,2,4,3,"Accordingly, the",Colombo
Jaffna,6,2,1,9,8,district records the,highest
Kalutara,8,2,2,12,10,number of SLTDA,registered
Kandy,17,5,3,25,23,,
,,,,,,,restaurants (335) as well as  Grade
Kegalle,12,4,2,18,16,,
,,,,,,A restaurants (255).  Except,for
Kilinochchi,1,0,0,1,1,,
,,,,,,"Colombo, Galle,","Gampaha,"
Kurunegala,9,3,6,18,13,,
,,,,,,"Kalutara, Kandy,","Kegalle,"
Matale,7,4,3,14,11,,
,,,,,,,"Kurunegala,  Matara,  Matale  &"
Matara,5,6,5,16,11,,
,,,,,,Nuwara Eliya all the,other
Monaragala,2,2,2,6,4,,
,,,,,,districts have less than,10
Mullaitivu,1,1,1,3,3,,
,,,,,,,SLTDA  registered  restaurants.  In
Nuwara  Eliya,3,3,5,11,7,,
,,,,,,"comparison to 2021,",the
Polonnaruwa,1,0,2,3,2,,
Puttalam,1,3,3,7,5,registered restaurants,have
Ratnapura,3,1,1,5,3,,increased  by  18.7%.  This  could
Trincomalee,4,0,0,4,4,,be attributed to the factors such as
Vavuniya,0,1,0,1,0,the awarding of,provisional
Ampara,0,0,0,0,0,,
,,,,,,"licenses, the requirement",of
Total,419,111,109,639,538,,
,,,,,,,SLTDA  license  to  obtain  the  soft
,,,,,,liquor licenses and the,relief
,,,,,,measures  given to,the  SLTDA
,,,,,,registered  service  providers.,
