0,1,2,3
Table 33(c) - Details of DomesƟ c Visitors by LocaƟ on – 2018,,,
City,LocaƟ on,Number of Foreign Visitors,Revenue ( In Rs. )
Anuradapura,Abhayagiriya/ Jetawana,"47,436",
Polonnaruwa,"Gal Viharaya, Museum, Kingdom","83,920","3,135,750"
Sigiriya,"Museum, Sigiriya Rock","766,815","33,256,875"
Kataragama,Museum,"10,918",
Galle,Museum,"54,340","1,608,855"
Dambulla,Museum,"1,267",
Kandy,Museum,"6,335",
Ape Gama,Ape Gama,"114,550","7,572,910"
RiƟ gala,RiƟ gala Forest Monastry,"57,128",
Ibbankatuwa,Ancient Burial Ground,"32,131",
Namal Uyana,Namal Uyana,"37,850",
Total,,"1,212,690","48,899,198"
