0,1,2,3,4,5,6,7
,,2017,,,,2018,
Source Market,,,,Source Market,,,
,,,Percentage,,,,Percentage
,Arrivals,,,,Arrivals,,
,,,Share,,,,Share
India,"384,628",,18.17,India,"424,887",,18.2
China,"268,952",,12.7,China,"265,965",,11.3
United Kingdom,"201,879",,9.53,United Kingdom,"254,176",,10.9
Germany,"130,227",,6.15,Germany,"156,888",,6.7
France,"97,282",,4.59,Australia,"110,928",,4.7
Australia,"81,281",,3.84,France,"106,449",,4.6
Maldives,"79,371",,3.75,Maldives,"76,108",,3.3
Russia,"59,191",,2.80,USA,"75,308",,3.2
USA,"57,479",,2.72,Russia,"64,497",,2.8
Netherlands,"51,148",,2.42,Netherlands,"57,160",,2.4
