0,1,2,3,4,5,6,7,8,9,10,11,12,13
COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
"JORDAN, THE HASHEMITE",,,,,,,,,,,,,
,366,254,299,241,117,268,230,314,200,181,294,392,"3,156"
KINGDOM OF,,,,,,,,,,,,,
"KAZAKHSTAN, REPUBLIC",,,,,,,,,,,,,
,674,407,370,158,73,67,112,77,132,86,134,431,"2,721"
OF,,,,,,,,,,,,,
"KENYA, REPUBLIC OF",64,35,48,49,59,44,95,61,55,111,58,195,874
KIRIBATI,1,0,0,0,0,1,1,0,0,0,0,0,3
KOSOVO,0,3,2,8,0,1,5,3,6,0,0,4,32
"KUWAIT, STATE OF",545,403,240,249,143,226,335,599,154,157,201,213,"3,465"
KYRGYZSTAN,109,46,107,10,17,28,28,14,18,18,17,47,459
"LAO, PEOPLE’S",,,,,,,,,,,,,
,9,7,20,13,39,7,3,23,7,10,16,4,158
DEMOCRATIC REPUBLIC,,,,,,,,,,,,,
LATVIA,268,219,261,172,73,73,33,56,124,102,235,324,"1,940"
LEBANON,358,542,561,676,225,365,546,630,367,179,427,645,"5,521"
LESOTHO,0,0,0,4,0,0,2,1,0,0,0,0,7
LIBERIA,0,0,1,1,4,1,0,0,2,3,0,0,12
"LIBYA, STATE OF",7,8,8,9,9,13,6,6,8,10,8,5,97
"LIECHTENSTEIN,",,,,,,,,,,,,,
,5,10,23,10,6,5,13,6,7,6,11,24,126
PRINCIPALITY OF,,,,,,,,,,,,,
LITHUANIA,382,570,402,241,203,224,163,118,142,231,288,422,"3,386"
LUXEMBOURG,87,77,112,78,20,17,82,177,41,29,68,79,867
"MACEDONIA,",,,,,,,,,,,,,
,44,34,34,20,13,15,38,19,26,16,16,35,310
REPUBLIC OF,,,,,,,,,,,,,
MADAGASCAR,5,6,4,8,8,3,8,9,23,3,9,11,97
MALAWI,5,1,7,1,3,0,3,1,3,2,2,6,34
MALAYSIA,"1,735","1,744","1,994","1,827","1,604","2,389","1,666","2,101","1,903","1,437","2,101","2,307","22,808"
"MALDIVES, REPUBLIC OF","6,124","4,726","7,239","5,696","4,343","5,362","6,348","6,880","4,695","5,223","7,418","12,054","76,108"
"MALI, REPUBLIC OF",2,1,0,2,1,0,2,1,1,2,4,1,17
