0,1,2,3,4,5,6,7,8,9,10
WESTERN EUROPE,"Total392,356","Professionals156,900","Other Occupa(cid:415) on64,417","Re(cid:415) red Persons52,869","Execu(cid:415) ves47,522","Businessmen9,477","NO Occupa(cid:415) on24,313","Educa(cid:415) onists24,764","Scien(cid:415) sts & Technicians6,645","Marke(cid:415) ng & Adver(cid:415) sing5,449"
Austria,"19,320","7,343","4,399","2,817","1,653",396,675,"1,478",291,268
Belgium,"17,519","5,990","4,094","2,209","1,792",301,"1,723",983,173,254
France,"106,449","38,124","16,560","23,080","12,337","2,184","6,230","5,483","1,571",880
Germany,"156,888","68,964","26,308","14,079","19,287","4,318","6,895","11,521","3,429","2,087"
Netherlands,"57,160","22,601","7,370","6,253","8,530","1,388","6,279","2,886",550,"1,303"
Switzerland,"33,965","13,525","5,517","4,249","3,832",864,"2,420","2,348",605,605
Others,"1,055",353,169,182,91,26,91,65,26,52
CENTRAL / EASTERN,,,,,,,,,,
,"176,905","76,585","21,150","4,418","42,931","8,041","7,370","8,773","3,331","4,306"
EUROPE,,,,,,,,,,
Belarus,"4,621","2,201",527,48,"1,365",144,72,120,48,96
Czech Republic,"17,600","7,257","2,151",837,"3,694",788,837,"1,248",558,230
Estonia,"2,744","1,007",388,66,869,53,118,151,26,66
Hungary,"4,514","2,037",642,257,780,165,266,257,55,55
Kazakhstan,"2,721",721,160,320,320,400,320,320,80,80
Lithuania,"3,386","1,522",313,60,791,313,134,149,15,89
Poland,"20,378","10,660","2,647",435,"2,774",961,816,"1,197",326,562
Romania,"5,931","3,522",475,133,850,117,250,217,242,125
Russian Federa(cid:415) on,"64,497","26,715","6,495","1,401","19,768","2,292","2,618","2,533","1,288","1,387"
Slovakia,"5,289","2,314",663,170,"1,292",204,119,408,51,68
Ukraine,"36,515","14,397","5,717",544,"8,474","2,280","1,565","1,633",544,"1,361"
Others,"8,709","4,232",972,147,"1,954",324,255,540,98,187
SOUTHERN /,,,,,,,,,,
MEDITERRANEAN,"109,553","48,504","20,196","9,261","11,154","4,115","6,145","6,874","1,479","1,825"
EUROPE,,,,,,,,,,
Greece,"7,778","3,222","1,335",368,"1,105",368,276,690,92,322
Israel,"13,793","6,385","2,450",772,"1,813",502,598,907,135,231
Italy,"38,379","13,073","10,306","4,648","3,410","1,254","2,523","2,477",428,260
Portugal,"5,933","2,840",576,"1,041",627,202,232,222,51,142
Spain,"29,208","15,863","3,768","1,514","2,271","1,102","1,761","1,777",444,708
Turkey,"4,262","1,994",387,582,479,330,182,217,80,11
Others,"10,200","5,127","1,374",336,"1,449",357,573,584,249,151
