0,1,2,3,4,5,6,7,8,9
,,,,,Year,,,,
Charter Carrier,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aerosvit Airline,-,-,-,-,101,-,-,10,-
Indian Airforce,-,-,-,-,49,-,-,24,2
Orient Flights,-,-,-,-,86,-,48,-,87
Qantas AL,-,-,-,-,244,-,-,-,-
Spirit of Africa AL,-,-,-,-,353,-,-,-,4
Mahan Air,-,-,-,-,-,-,648,"2,625",136
Lot Polish Airlines,-,-,-,"5,873","2,513","2,144",24,-,-
Enter Air,-,-,-,"2,927",-,-,,-,-
Fin Air,"3,423",-,-,-,-,-,2,1,5
Trans aero Russia,-,-,-,-,-,800,-,-,-
Azur Air,-,-,-,-,-,281,"1,919","5,555","6,746"
Wind Rose Airlines,-,-,-,"4,494",-,-,-,-,-
Special Aircra(cid:332) s,-,-,-,-,,-,877,"9,928","1,950"
Orenburg Airlines,-,-,-,"1,581",-,-,-,-,-
Hong Kong Air Lines,-,-,-,-,-,-,-,90,-
TNT,-,-,"1,183",-,-,-,-,-,-
Condor,-,-,"3,827",-,6,-,-,-,231
Trans aero Airlines,-,-,-,636,-,-,-,-,-
PB Air,-,"2,645",-,-,-,-,-,-,-
Meridiana,-,337,"2,770",-,2,-,-,"2,494",-
Travel Service,-,-,-,517,-,-,507,"1,943",-
Travels Service Poloska,-,-,-,733,-,-,-,"1,889","2,254"
Private Aircra(cid:332),-,-,-,-,-,-,808,221,349
Smart Wings (QS),-,"1,076",-,-,-,-,-,-,-
Sco(cid:415) a Prince,-,-,-,-,-,-,-,"4,459",-
Edelweiss Air,"2,908",371,612,-,-,-,-,378,"4,276"
Bri(cid:415) sh Airways,-,-,-,-,-,-,104,-,-
Ukraine Airline,-,-,-,-,-,5,"4,152",-,-
TOM,938,-,976,-,-,-,-,-,-
EL AL Israel Airlines,-,-,-,-,-,-,32,-,-
First Choice,"5,713",727,-,-,-,-,-,-,-
Arkeyﬂ y,-,-,"2,140",-,-,-,-,-,9
VIM Airlines,-,-,-,626,-,-,-,-,-
Island Aviai(cid:415) on,-,-,-,-,-,502,-,-,38
Albanian Airlines,-,-,-,-,-,-,40,-,1
Thomson Airways,-,-,-,-,-,-,"1,931","10,532","8,244"
Royal Flight Airline,-,-,-,-,-,-,806,-,"2,510"
NVR,"1,952","8,757","3,918",-,-,-,-,-,-
Sriwijay Airlines,-,-,-,-,-,-,395,-,30
Neo Spa,-,-,-,-,-,-,671,-,-
Ethiopian Airline,-,-,-,-,-,-,62,-,-
Russia Airline,-,798,-,-,-,-,-,-,-
Other Flights,679,411,"3,255",-,"2,611",336,118,"11,230","17,074"
Total,"14,675","15,122","18,681","17,387","5,965","4,068","13,144","51,379","43,946"
