0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Colombo City,No. of  Units43,"Rooms5,607",Jan81.92,Feb78.42,Mar79.16,Apr71.87,May80.35,Jun75.68,Jul79.41,Aug81.89,Sep76.53,Oct78.14,Nov82.79,Dec84.13,Annual O/R79.19
Greater,,,,,,,,,,,,,,,
,63,"3,269",77.77,73.81,77.25,70.27,71.95,75.01,75.24,76.01,77.00,74.55,77.13,78.98,75.41
Colombo,,,,,,,,,,,,,,,
1. North of,,,,,,,,,,,,,,,
,54,"2,779",82.83,81.52,80.80,71.92,68.89,70.66,76.24,78.63,75.85,72.38,73.00,78.64,75.95
Colombo,,,,,,,,,,,,,,,
11. South of,,,,,,,,,,,,,,,
,9,490,72.71,66.10,73.70,68.62,75.02,79.37,74.23,73.39,78.15,76.73,81.26,79.32,74.88
Colombo,,,,,,,,,,,,,,,
South Coast,173,"8,676",76.89,75.55,71.01,67.86,66.69,69.81,73.33,72.15,75.64,75.88,75.02,77.31,73.10
1. Upto Galle,98,"5,603",78.45,76.40,72.54,71.48,68.24,68.80,70.78,67.03,76.69,76.42,77.81,78.88,73.62
11. Beyond Galle,75,"3,073",75.33,74.71,69.48,64.24,65.15,70.81,75.88,77.27,74.59,75.35,72.24,75.75,72.57
East Coast,28,"1,149",70.28,72.76,73.94,63.42,66.47,69.32,72.33,80.38,77.33,72.12,65.24,72.55,71.35
Hill Country,46,"1,489",72.06,71.11,73.53,64.17,66.03,63.33,74.68,77.04,77.14,69.16,75.11,76.64,71.67
Ancient Ci(cid:415) es,97,"4,360",74.23,74.25,70.82,69.29,63.17,64.41,68.84,74.99,74.21,72.32,75.27,74.65,71.37
1. Kandy Area,40,"1,816",74.46,76.41,68.15,73.90,68.23,69.87,67.30,72.11,78.51,72.23,76.70,71.16,72.42
11.Anuradhapura,,,,,,,,,,,,,,,
,14,426,71.79,73.00,75.35,77.82,58.73,56.33,69.84,75.65,69.84,71.82,73.31,76.87,70.86
Area,,,,,,,,,,,,,,,
111.Polonnaruwa,,,,,,,,,,,,,,,
,10,424,74.94,75.94,72.97,59.91,67.50,61.70,68.41,75.24,74.75,72.32,78.31,71.39,71.12
/ Giritale,,,,,,,,,,,,,,,
1V. Habarana/,,,,,,,,,,,,,,,
,33,"1,694",75.73,71.65,66.79,65.52,58.23,69.74,69.82,76.95,73.75,72.89,72.77,79.18,71.08
Sig./Damb.,,,,,,,,,,,,,,,
Northern Region,7,207,74.66,72.33,68.23,59.31,58.62,69.30,67.39,71.62,68.76,69.61,66.52,75.43,68.48
All Regions,457,"24,757",75.43,74.20,72.89,67.68,66.79,68.74,72.19,75.60,75.16,73.26,74.59,76.66,72.77
