0,1,2,3,4,5
Year,Total,Year,Total,Year,Total
Amount,in Rs.’000,Amount,in Rs.’000,Amount,in Rs.’000
1988,"37,201.20",1998,"190,531.50",2008,"738,812.90"
1989,"53,861.00",1999,"218,220.00",2009,"766,266.70"
1990,"99,020.30",2000,"200,207.00",2010,"1,000,080.00"
1991,"130,943.10",2001,"269,268.00",2011,"1,041,700.00"
1992,"177,151.10",2002,"393,171.00",2012,"1,161,686.00"
1993,"196,125.00",2003,"500,646.00",2013,"1,604,887.10"
1994,"203,755.50",2004,"566,202.00",2014,"1,779,766.10"
1995,"201,505.50",2005,"823,962.00",2015,"1,968,541.10"
1996,"151,132.50",2006,"839,404.50",2016,"2,335,444.20"
1997,"183,082.50",2007,"741,012.00",2017,"2,378,828.21"
,,,,2018,"2,824,969.83"
