0,1,2,3,4,5,6,7,8
1st,"to 24th April, 2022",,,,,,,
,,,,,,,,United Kingdom
Rank,Country,Number of Arrivals,,,,,,
,,,,,,,,India
,United Kingdom,"9,963",,,,,,
,1,,,,,,,
,India,"7,456",,,,19%,,
,2,,,,,,,Germany
,,,28%,,,,,
,Germany,"5,552",,,,,,
,3,,,,,,,
,,,,,,,,France
,France,"3,362",,,,,,
,4,,,,,,,
,,,,,,,,Russian
,Russian Federation,"3,111",,,,,,
,5,,,,,,,
,,,,,,,,Federation
,Australia,"3,045",,,,,,
,6,,,,,,14%,Australia
,Canada,"1,626",,,,,,
,7,,2%,,,,,
,,,,,,,,Canada
,,,3%,,,,,
,United States,"1,513",,,,,,
,8,,,,,,,
,,,3%,,,,,
,,,,,,,,United States
,Switzerland,"1,509",,,,,,
,9,,3%,,,,,
,,,,,,10%,,
,Netherlands,"1,340",6%,,,,,
,10,,,,,,,
,,,,,,,,Switzerland
,,,,6%,6%,,,
,Other,"14,715",,,,,,
,11,,,,,,,
,,,,,,,,Netherlands
,TOTAL,"53,192",,,,,,
,,,,,,,,Other
