0,1,2,3,4,5,6
,,Sri Lanka  Tourism Development Authority - Weekly Report,,,,
,"Daily  tourist arrivals, 1st to 31st March 2023",,,,,
,,,,,,MARCH  2023
,,,,,,07
01,02,03,,,,TOTAL
,,,04,05,06,
,,,,,,(1st to 7th)
"4,035","4,015","4,806","3,687","3,347","4,473",
,,,,,,"3,210"
,,,,,,"27,573"
,,,,,,TOTAL
0,09,10,11,12,13,14
8,,,,,,
,,,,,,(8th to 14th)
,"3,956","4,338","5,846","3,203","5,409","3,199"
"3,513",,,,,,
,,,,,,"29,464"
,,,,,,TOTAL
,,,18,19,20,21
,,17,,,,
15,16,,,,,
,,,,,,(15th to 21st)
,,,"3,575","3,620","5,081","3,257"
,,"3,764",,,,
,,,,,,
"3,845","4,404",,,,,"27,546"
22,23,24,25,26,27,28
"3,703","3,780","4,713","4,564","4,369","4,353","2,925"
29,30,31,,,,
,,,,,,TOTAL
,,,,,,(22nd to 31st)
"3,627","4,274","4,604",,,,
,,,,,,"40,912"
