0,1,2,3,4
T,"op ten source markets, April  2023",,,
,,,Number of,
,Rank,Country,,
,,,Tourists,Share %
,1,India,"19,915",19%
,2,Russian Federation,"14,656",14%
,3,United Kingdom,"8,743",8%
,4,Germany,"7,404",7%
,5,France,"5,535",5%
,6,China,"5,118",5%
,7,Australia,"4,996",5%
,8,United States,"3,940",4%
,9,Canada,"3,310",3%
,10,Japan,"2,318",2%
,11,O,,28%
,,ther,"29,563",
,,Total,"105,498",100.00
