0,1,2,3,4,5
,Sri Lanka Tourism Development Authority - Weekly Report,,,,
,"Daily tourist arrivals, 01st to 10th June 2025",,,,
,1st,8th,,,
,,,15th,22nd,
,,,,,
,"3,898","4,535",,,29th
,2nd,9th,,,
,,,16th,23rd,
,"3,752","3,911",,,30th
,3rd,10th,17th,,
,,,,,
J,"4,064","3,969",,24th,31st
U,,,,,
,4th,11th,18th,,
,"4,158",,,25th,
N,,,,,
,,,,,
E,5th,12th,19th,26th,
,"5,421",,,,
,6th,13th,20th,27th,
,"5,211",,,,
,7th,14th,21st,,
,"5,043",,,28th,
,1st to 7th,8th to 10th,,,
Total,,,,,
,"31,547","12,415",,,
