0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Monthly Occupancy Rates in Graded Establishments by Region - 2011,,,,,,,,,,,,,,
Resort Region,No. of   Rooms,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,,Dec  Annual
,Units,,,,,,,,,,,,,,O/R
Colombo City,21,3086,91.1,85.9,92.3,80.1,67.3,63.4,82.4,90.3,82.9,83.8,92.5,96.5,84.0
Greater Colombo,51,"2,573",89.2,79.5,89.8,77.0,64.9,58.9,80.9,77.4,70.1,83.2,89.3,94.6,79.5
i.   North of Colombo,42,2141,90.4,82.7,90.6,79.0,63.1,59.3,78.9,71.9,62.2,79.7,89.8,95.3,78.6
ii.  South of Colombo,9,432,87.9,76.2,88.9,75.0,66.7,58.5,82.8,82.9,77.9,86.7,88.7,93.8,80.5
South Coast,92,"5,037",87.7,75.1,84.5,73.3,61.4,58.9,76.1,77.6,73.6,83.8,90.5,95.2,78.1
i. Upto Galle,64,3851,92.8,80.1,88.8,78.3,68.5,60.5,84.3,86.5,79.2,93.2,94.3,96.9,83.6
ii. Beyond Galle,28,1186,82.6,70.1,80.1,68.2,54.2,57.3,67.8,68.6,67.9,74.3,86.7,93.4,72.6
East Coast,8,238,78.9,67.3,86.1,70.1,60.2,52.1,78.9,69.1,70.1,88.9,91.4,95.3,75.7
High Country,25,940,80.6,68.9,80.0,68.4,59.2,54.9,77.7,63.1,67.9,75.6,89.4,94.3,73.3
Ancient Cities,55,"2,779",79.1,73.0,78.1,72.4,60.3,55.9,72.6,58.0,59.1,69.7,88.9,94.0,71.7
i. Kandy Area,26,1318,82.7,77.2,80.7,75.2,64.1,56.2,93.5,79.9,75.9,78.9,89.4,94.5,79.0
ii. Anuradhapura Area,8,270,73.6,65.2,72.9,69.4,60.1,54.0,64.9,56.3,52.4,65.8,87.3,93.4,67.9
iii. Polonnaruwa / Giritale,8,343,79.8,69.1,79.6,69.2,50.1,51.9,60.9,50.6,49.1,64.3,88.3,90.3,66.9
iv. Habarana/Sig./Damb.,13,848,80.3,80.5,79.3,75.6,66.8,61.4,70.9,45.2,58.9,69.7,90.7,97.9,73.1
Northern Region,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
All Regions,,"252  14,653",84.4,74.9,85.1,73.5,62.2,57.3,78.1,72.6,70.6,80.8,90.3,95.0,77.1
