0,1,2,3,4,5,6
Maldives,"44,018","33,423","3,328","2,098","4,807",234
Pakistan,"14,724","10,202","1,418",897,"1,067",342
Philippines,"2,047","1,178",307,131,218,1
Singapore,"15,953","11,917","2,301",202,"1,201",17
Thailand,"5,880","4,165",579,157,272,7
Taiwan (P.C.),"7,010","5,138","1,290",61,280,11
Others,"10,114","6,098","1,899",944,864,59
AUSTRALASIA,"46,467","30,758","2,186",306,"12,568",353
Australia,"41,728","27,654","1,892",246,"11,500",345
New Zealand,"4,212",2750,251,30,1039,6
Others,527,354,43,30,29,2
Total,"855,975","687,830","68,436","14,681","70,531","2,321"
