0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,Asia has shown a marginal increase since 2008.,,,,,
,Table A-1      World Tourist Arrivals by Regions in,,,,,,,,,,,,,
,,million (2008 to 2011),,,,,,,,,,,,
,,,,,,,,,B - Tourism Demand - Volume and,,,,,
Region,2008,2009,2010,,2011                 % Change,,,,,,,,,
,,,,,,,,Value,,,,,,
,,,,,09/08,10/09,11/10,,,,,,,
Africa,45.7,46.7,49.8,49.8,2.2,6.6,0,,,,,,,
,,,,,,,,,(B-1) Volume,,,,,
Americas,147.1,140.7,149.8,156.2,-4.4,6.5,4.3,,,,,,,
East Asia,,,,,,,,,,,,,,
,,,,,,,,,"Surpassing all previous records, tourist arrivals reached",,,,,
& Pacific,171.2,171.0,193.0,203.4,-0.1,12.8,5.4,,,,,,,
,,,,,,,,,"a new milestone of 855,975 arrivals in 2011 registering",,,,,
Europe,487.1,461.0,474.4,502.8,-5.6,2.9,6.0,,,,,,,
,,,,,,,,30.8,per,cent,increase,compared,to,2010.  The
Middle East,55.6,52.2,60.2,55.4,-6.1,15.3,-7.9,,,,,,,
,,,,,,,,,peaceful environment of the country served to attract a,,,,,
South Asia,10.3,10.1,11.6,12.6,-1.9,-1.9,14.5,,considerable amount of tourist traffic to Sri Lanka. As a,,,,,
World,917,882,939,980,-3.8,6.4,4.4,,better and stable measure of tourism volume is the total,,,,,
,,,,,,,,,number  of  nights  spent  by  the  tourists  who  visited  the,,,,,
