0,1,2,3,4,5,6,7,8,9
,Supplementary Establishments 2003 to 2011,,,,,,,,
Description,2003,2004,2005,2006,2007,2008,2009,2010,2011
A.   Accommodation Capacity -,,,,,,,,,
Graded Establishments,,,,,,,,,
(a).No. of Units,233,240,223,241,245,256,242,253,252
(b). No. of Rooms,"14,137","14,322","13,162","14,218","14,604","14,793","14,461","14,714","14,653"
(c). No. of Beds,"26,511","26,938","24,740","27,117","27,500","28,698","28,344","28,978","28,844"
B.   Accommodation Capacity -,,,,,,,,,
Supplementary Establishments,,,,,,,,,
(a). No. of Units,265,345,415,508,513,578,629,530,654
(b). No. of Rooms,"2,836","3,318","3,962","4,989","5,030","5,397","5,946","5,895","6,141"
(c). No. of Beds,"4,820","5,640","6,537","8,232","8,299","9,712","11,654","11,210","11,601"
C.   Guest Nights - Graded,,,,,,,,,
Establishments,,,,,,,,,
(a). Foreign,"3,964,234","4,394,404","2,857,575","3,134,243","2,777,599","2,763,223","2,818,487","4,126,544","5,011,480"
(b). Local,"968,315","969,343","818,207","806,143","1,051,077","979,438","1,163,220","1,464,098","1,607,393"
D. Guest Nights -,,,,,,,,,
Supplementary Establishments,,,,,,,,,
(a). Foreign,"220,510","349,510","391,520","680,604","598,931","701,254","779,317","1,249,146","2,247,407"
(b). Local,"358,211","402,477","474,095","495,957","497,321","421,987","471,730","425,350","574,958"
E.   Tourist Nights (Total),"5,092,783","5,742,425","4,754,085","5,793,588","4,940,080","4,165,511","4,075,799","6,544,760","8,559,750"
(a). Graded Establishments,"3,964,234","4,394,404","2,857,575","3,134,243","2,777,599","2,763,223","2,818,487","4,126,544","5,011,480"
(b). Supplementary Establishments,"220,510","349,510","391,520","680,604","598,931","701,254","779,317","1,249,146","2,247,407"
(c). Others,"908,039","998,511","1,504,990","1,978,741","1,563,550","701,034","477,995","1,169,070","1,300,863"
