0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011
Hotels and,,,,,,,,,,,,,,,
Restaurants,"1,264","1,294","1,371","4,940","5,334","5,496","17,321","17,675","18,762","9,630","10,123","15,643","31,891","33,132","39,901"
Travel Agents and,,,,,,,,,,,,,,,
Tour Operators,500,580,360,"2,053","2,382","1,234","4,201","4,389","2,348",880,"1,190",654,"7,134","7,961","4,236"
Airlines,20,29,32,775,807,819,"3,480","3,510","3,611",990,"1,213","1,225","5,245","5,530","5,655"
Agencies Providing,,,,,,,,,,,,,,,
Recreational Facilities,21,22,25,47,48,50,159,163,168,85,89,94,291,300,312
Tourist Shops,151,122,145,242,195,278,"1,040",903,"1,021",264,236,274,"1,546","1,334","1,573"
Guides,,,,,,,"3,477","4,213","3,548",,,,"3,477","4,213","3,548"
National Tourist,,,,,,,,,,,,,,,
Organisation,4,4,4,92,118,120,125,128,130,110,115,119,327,361,369
State Sector,18,18,18,640,655,655,680,690,690,840,847,847,"2,160","2,192","2,192"
Total,"1,978","2,069","1,955","8,789","9,539",,"8,652   30,483   31,671   30,278   12,799   13,813   18,856   52,071   55,023   57,786",,,,,,,,
