0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,Annual
,,,,,,,,,,Growth
Market,2003,2004,2005,2006,2007,2008,2009,2010,2011,Rates
Western Europe,"3,255","3,640","2,903","2,917","2,498","2,115","2,171","3,255","4,088",13.2
Asia,"2,950","3,260","3,706","4,024","3,338","2,926","2,900","4,087","5,559",14.5
North America,713,871,"1,328","1,014",806,660,712,"1,153","1,525",7.8
Australasia,"2,363","3,314","3,508","2,954","2,728","2,752","3,087","4,392","6,099",16.6
Others,"2,873","3,265","2,815","3,536","5,749","6,492","6,507","9,461","11,980",37.9
All Markets,"2,633","2,978","2,889","2,943","2,598","2,306","2,355","3,442","4,501",14.1
