0,1
Top potential  markets -  March 2023,
Kazakhstan,Malayasia
Arrivals: 972 | % Share: 0.8,Arrivals : 676 | % Share: 0.5
Denmark,
,Saudi Arabia
Arrivals: 895    | % Share: 0.7,
,Arrivals:  653  | % Share: 0.5
Austria,Norway
Arrivals: 872 | % Share: 0.7,
,Arrivals: 648 | % Share :  0.5
