0,1,2,3,4,5,6,7,8,9
,,Tourist Arrivals,,Arrivals,Change,Arrivals up to,Arrivals,up to,
,,,,March,March,March,up to,March,
,By Air,By Sea,Total,2021,(22/21),2022,March,(20/21),
,,,,,,,2021,,
ASIA &,,,,,,,,,
,"34,113",-,"34,113",639,-,"72,506","1,020",,-
PACIFIC,,,,,,,,,
North East,,,,,,,,,
,819,-,819,245,-,"1,818",404,,-
Asia,,,,,,,,,
China,358,-,358,223,-,850,367,,-
Japan,226,-,226,12,-,440,22,,-
South Korea,200,-,200,7,-,421,12,,-
Taiwan,35,-,35,3,-,71,3,,-
Others,-,-,-,,-,36,,,-
South East,,,,,,,,,
,"1,402",-,"1,402",31,-,"2,952",72,,-
Asia,,,,,,,,,
Cambodia,2,-,2,1,-,45,1,,-
Indonesia,112,-,112,3,-,268,11,,-
Malaysia,317,-,317,3,-,623,7,,-
Myanmar,19,-,19,1,-,58,6,,-
Philippines,256,-,256,8,-,522,29,,-
Singapore,489,-,489,4,-,"1,001",5,,-
Thailand,156,-,156,6,-,314,8,,-
Vietnam,46,-,46,5,-,103,5,,-
Others,5,-,5,,-,18,-,,-
Oceania,"2,616",,"2,616",36,-,"7,367",71,,-
Australia,"2,359",-,"2,359",29,-,"6,861",56,,-
New Zealand,246,-,246,7,-,489,15,,-
Others,11,-,11,-,-,17,-,,-
South Asia,"29,276",,"29,276",327,-,"60,369",473,,-
Afghanistan,16,-,16,1,-,18,1,,-
Bangladesh,451,-,451,3,-,"1,012",9,,-
Bhutan,6,-,6,1,-,47,1,,-
India,"23,216",-,"23,216",183,-,"47,711",279,,-
Iran,"2,235",-,"2,235",65,-,"2,798",65,,-
Maldives,"1,910",-,"1,910",56,-,"5,843",86,,-
Nepal,186,-,186,1,-,383,2,,-
Pakistan,"1,256",-,"1,256",17,-,"2,557",30,,-
EUROPE,"61,830",-,"61,830","3,484",-,"189,131","7,945",,-
Northern,,,,,,"40,668",,,
,"16,533",,"16,533",403,-,,539,,-
Europe,,,,,,,,,
Denmark,"1,187",-,"1,187",21,-,"3,417",32,,-
Finland,181,-,181,7,-,750,9,,-
Norway,768,-,768,21,-,"1,884",35,,-
Sweden,725,-,725,22,-,"2,226",31,,-
United,,,,,,,,,
,"12,908",-,"12,908",316,-,"30,992",398,,-
Kingdom,,,,,,,,,
Others,764,-,764,16,-,"1,399",34,,-
