0,1
Russia*,
,Norway
"Arrivals: 8,899 | % Share:8.4",
,Arrivals:768  |  % Share: 0.7
4441212.112.12.17.9,
France,Italy
"Arrivals:  5,741 | % Share: 5.4",Arrivals: 730  |  % Share: 0.7
United States,Sweden
"Arrivals: 3,114 | % Share: 2.9",Arrivals:  725|  % Share: 0.7
