0,1,2,3,4,5
,,,,,Tourist
,Country of,,Tourist Arrivals (March 2022),,
Rank,,,,,Arrivals
,Residence,,,,
,,By Air,By Sea,Total,(March  2021)
1,India,"23,216",-,"23,216",183
2,United Kingdom,"12,908",-,"12,908",316
3,Germany,"9,561",-,"9,561",502
4,Russian Federation,"8,899",-,"8,899",197
5,France,"5,741",-,"5,741",72
6,Poland,"3,315",-,"3,315",45
7,United States,"3,114",-,"3,114",182
8,Canada,"2,989",-,"2,989",120
9,Kazakhstan,"2,598",-,"2,598","1,514"
10,Australia,"2,359",-,"2,359",29
