0,1,2,3
Rank,Country,,Number of Tourists
1,I,ndia,"229,563"
2,R,,"119,294"
,,ussian Federation,
3,U,nited Kingdom,"113,539"
4,G,ermany,"82,419"
5,C,hina,"79,118"
6,F,rance,"60,524"
7,A,ustralia,"49,108"
8,U,nited States,"38,313"
9,N,,"32,296"
,,etherlands,
10,C,anada,"27,721"
11,M,aldives,"27,414"
12,P,,"26,488"
,,oland,
13,B,angladesh,"20,892"
14,I,taly,"19,469"
15,S,witzerland,"18,977"
16,S,pain,"17,692"
,J,apan,"15,137"
17,,,
,I,srael,
18,,,"14,593"
,C,,"13,716"
19,,zech Republic,
,M,alaysia,"10,752"
20,,,
,O,thers,"207,923"
