0,1,2,3,4
2022,,2023,,
,,,,Percentage
,Number of,,Number of,
,,,,Change (23/22)%
Month,,Month,,
,Tourists,,Tourists,
January,"82,327",January (1st- 31st),"102,545",-
February,"96,507",-,-,-
March,"106,500",-,-,-
April,"62,980",-,-,-
May,"30,207",-,-,-
June,"32,856",-,-,-
July,"47,293",-,-,-
August,"37,760",-,-,-
September,"29,802",-,-,-
October,"42,026",-,-,-
November,"59,759",-,-,-
December,"91,961",-,-,-
