0,1,2,3,4,5,6,7
Country,Tourist Arrivals,"Tourist 
Arrival (Mn)","Duration of 
Stay 
(Estimated)",Occupancy Rate,"Spending 
Per day 
(USD)","Receipts per 
Tourist(USD)","International 
Tourist 
Receipts             
(USD Mn)"
India,"14,569,000",14.57,9.5,63.4,162.03,"1,539.36","22,427"
Indonesia,"11,519,275",11.52,10.7,53.7,92.07,985.22,"11,349"
Malaysia,"26,757,000",26.76,5.8,60.1,116.46,675.49,"18,074"
Maldives,"1,286,000",1.29,5.8,67.3,366.01,"2,122.86","2,730"
Singapore,"12,913,000",12.91,3.5,84.3,406.81,"1,423.84","18,386"
Sri Lanka,"2,050,832",2.05,10.2,74.76,168.18,"1,715.40","3,518"
Thailand,"32,588,000",32.59,9.6,68.1,159.41,"1,530.35","49,871"
