0,1,2,3,4
Distribution of tourists by sex and region (Percentage)-2020,,,,
,"4,454",,,
Middle East,"5,777",,,
,"10,763",,,
Southern / Mediterranean Europe,"12,692",,,
,,,"55,912",
Central / Eastern Europe,,"44,854",,
,,"43,325",,
Western Eur.,,"38,904",,
,,"38,188",,
Northern Eur.,,"36,958",,
,,"36,385",,
South Asia,,,,"69,816"
Region,"11,247",,,
Oceania,"11,459",,,
,"6,272",,,
South East Asia,"8,655",,,
,"19,680",,,
North East Asia,"17,640",,,
C,"1,076",,,
Sub-Saharan Africa,"1,115",,,
,359,,,
North Africa,330,,,
,"1,080",,,
South America,910,,,
,72,,,
Caribbean & Central America,154,,,
,"14,556",,,
North America,"15,071",,,
