0,1,2,3
Table 12(Contd.),,,
,,Average,
Country of Residence,Arrivals,,Guest Nights
,,Duration of stay,
,"82,229",12.2,"1,011,234"
Western Europe,,,
,"4,300",12.8,"55,040"
Austria,,,
,"3,371",11.2,"37,755"
Belgium,,,
,"24,838",10.7,"265,767"
France,,,
,"34,507",13.2,"455,492"
Germany,,,
,"8,656",13.4,"115,990"
Netherlands,,,
,"6,389",12.4,"79,224"
Switzerland,,,
,168,11.7,"1,966"
Others,,,
,"100,766",10.7,"1,107,027"
Central / Eastern Europe,,,
,"2,638",11.7,"30,865"
Belarus,,,
,"7,599",11.5,"87,389"
Czech Republic,,,
,"1,185",12.5,"14,813"
Estonia,,,
,"1,588",10,"15,880"
Hungary,,,
,"2,333",10.6,"24,730"
Kazakhstan,,,
,"1,054",10.6,"11,172"
Lithuania,,,
,"11,908",10.4,"123,843"
Poland,,,
,"1,724",8.8,"15,171"
Romania,,,
,"49,397",11.4,"563,126"
Russian Federation,,,
,"1,513",10.2,"15,433"
Slovakia,,,
,"17,169",10.4,"178,558"
Ukraine,,,
,"2,658",9.8,"26,048"
Others,,,
Southern / Mediterranean,,,
,"23,455",8.9,"219,526"
Europe,,,
,"1,573",5.8,"9,123"
Greece,,,
,"8,603",9.7,"83,449"
Italy,,,
,"1,602",9.3,"14,899"
Portugal,,,
,"3,385",9.7,"32,835"
Spain,,,
,"2,121",7.6,"16,120"
Turkey,,,
,"3,556",11.2,"39,827"
Israel,,,
,"2,615",8.9,"23,274"
Others,,,
