0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 4 (Contd.),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Total (Jan -
No,Country,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,,Dec)
167,TANZANIA,16,27,9,0,0,0,0,0,0,0,0,0,52
,THAILAND,736,927,,,,,,,,,,,
168,,,,217,0,0,0,0,0,0,0,0,0,"1,880"
169,TONGA,0,0,0,0,0,0,0,0,0,0,0,0,0
170,TIMOR-LESTE,0,1,0,0,0,0,0,0,0,0,0,0,1
171,TOGO,0,2,0,0,0,0,0,0,0,0,0,0,2
,TRINIDAD AND,7,19,,,,,,,,,,,
172,TOBAGO,,,0,0,0,0,0,0,0,0,0,0,26
173,TUNISIA,80,45,24,0,0,0,0,0,0,0,0,0,149
174,TURKEY,"1,145",813,163,0,0,0,0,0,0,0,0,0,"2,121"
175,TURKMENISTAN,9,9,3,0,0,0,0,0,0,0,0,0,21
176,UGANDA,16,15,5,0,0,0,0,0,0,0,0,0,36
177,UKRAINE,"8,549","6,072","2,155",0,0,0,0,0,0,0,0,393,"17,169"
,UNITED ARAB,199,123,,,,,,,,,,,
178,EMIRATES,,,30,0,0,0,0,0,0,0,0,0,352
,UNITED,"21,138","26,348",,,,,,,,,,,
179,KINGDOM,,,"7,969",0,0,0,0,0,0,0,0,0,"55,455"
180,UNITED STATES,"7,494","7,803","1,545",0,0,0,0,0,0,0,0,0,"16,842"
181,URUGUAY,21,11,4,0,0,0,0,0,0,0,0,0,36
182,UZBEKISTAN,74,108,35,0,0,0,0,0,0,0,0,0,217
183,VANUATU,5,1,0,0,0,0,0,0,0,0,0,0,6
184,VENEZUELA,13,17,3,0,0,0,0,0,0,0,0,0,33
185,VIET NAM,287,325,97,0,0,0,0,0,0,0,0,0,709
,YEMEN (YEMEN,116,38,,,,,,,,,,,
186,ARAB REP.),,,19,0,0,0,0,0,0,0,0,0,173
,ZAMBIA,16,5,,,,,,,,,,,
,(NORTHERN,,,,,,,,,,,,,
187,RHODESIA),,,2,0,0,0,0,0,0,0,0,0,23
188,ZIMBABWE,11,21,14,0,0,0,0,0,0,0,0,0,46
