0,1,2,3,4,5,6,7
,,,%,,,,
,,,,,,,%
Country of,,,,,,,
,,,,Country of,,,
,2020,2019,Change,,,,
,,,,,2020,2019,Change
Residence,,,,,,,
,,,,Residence,,,
,,,2020/19,,,,
,,,,,,,2020/19
AMERICAS,"31,843","127,423",(75.0),,,,
,,,,Singapore,"2,545","13,871",(81.7)
North,,,,,,,
,"29,627","119,681",(75.2),Thailand,"1,880","9,861",(80.9)
America,,,,,,,
,,,,Vietnam,709,"2,643",(73.2)
Canada,"12,436","48,729",(74.5),,,,
,,,,Others,32,194,(83.5)
Mexico,349,"2,120",(83.5),,,,
,,,,Oceania,"22,706","105,414",(78.5)
United States,"16,842","68,832",(75.5),,,,
,,,,Australia,"20,283","92,674",(78.1)
Caribbean,,,,,,,
,,,,New Zealand,"2,324","12,463",(81.4)
& Central,226,938,(75.9),,,,
,,,,Others,99,277,(64.3)
America,,,,,,,
Costa Rica,33,143,(76.9),South Asia,"106,201","447,675",(76.3)
Jamaica,25,58,(56.9),Afghanistan,146,473,(69.1)
Others,168,737,(77.2),Bangladesh,"1,986","8,261",(76.0)
South,,,,Bhutan,208,343,(39.4)
,"1,990","6,804",(70.8),,,,
America,,,,India,"89,357","355,002",(74.8)
Argentina,416,"1,403",(70.3),Iran,648,"3,249",(80.1)
Brazil,875,"2,964",(70.5),Maldives,"9,407","60,278",(84.4)
Chile,271,938,(71.1),Nepal,"1,384","5,414",(74.4)
Colombia,201,713,(71.8),Pakistan,"3,065","14,655",(79.1)
Others,227,786,(71.1),,,,
,,,,EUROPE,"281,596","887,572",(68.3)
AFRICA,"2,880","15,094",(80.9),,,,
,,,,Northern,,,
,,,,,"75,146","267,264",(71.9)
North Africa,689,"2,780",(75.2),,,,
,,,,Eur.,,,
Morocco,311,1031,(69.8),,,,
,,,,Denmark,"4,905","16,869",(70.9)
Sudan,143,584,(75.5),Finland,"2,298","7,028",(67.3)
Others,235,1165,(79.8),Norway,"3,019","13,446",(77.5)
Sub-Saharan,,,,Sweden,"7,061","22,464",(68.6)
,"2,191","12,314",(82.2),,,,
Africa,,,,,,,
,,,,United,,,
,,,,,"55,455","198,776",(72.1)
Kenya,110,"1,559",(92.9),Kingdom,,,
Mauritius,170,739,(77.0),,,,
,,,,Others,"2,408","8,681",(72.3)
Nigeria,25,172,(85.5),,,,
,,,,Western,,,
,,,,,"82,229","322,068",(74.5)
South Africa,"1,364","7,132",(80.9),,,,
,,,,Eur.,,,
Others,522,"2,712",(80.8),,,,
,,,,Austria,"4,300","14,713",(70.8)
ASIA &,"181,15",,,,,,
,,,,Belgium,"3,371","14,948",(77.4)
,,"839,470",(78.4),,,,
PACIFIC,4,,,,,,
,,,,France,"24,838","87,623",(71.7)
North East,,,,,,,
,,,,Germany,"34,507","134,899",(74.4)
,"37,320","217,477",(82.8),,,,
Asia,,,,,,,
,,,,Netherlands,"8,656","38,993",(77.8)
China,"26,147","167,863",(84.4),,,,
,,,,Switzerland,"6,389","29,981",(78.7)
Japan,"6,644","30,079",(77.9),,,,
,,,,Others,168,911,(81.6)
South Korea,"2,499","12,195",(79.5),,,,
,,,,Central /,,,
Taiwan,"1,985","7,127",(72.1),,,,
,,,,Eastern,"100,766","196,856",(48.8)
Others,45,213,(78.9),,,,
,,,,Europe,,,
South East,,,,,,,
,"14,927","68,904",(78.3),Belarus,"2,638","4,796",(45.0)
Asia,,,,,,,
,,,,Czech,,,
Cambodia,372,"2,841",(86.9),,"7,599","19,204",(60.4)
,,,,Republic,,,
Indonesia,"1,114","4,919",(77.4),,,,
,,,,Estonia,"1,185","2,516",(52.9)
Malaysia,"3,494","16,861",(79.3),,,,
,,,,Hungary,"1,588","4,091",(61.2)
Myanmar,532,"3,124",(83.0),,,,
Philippines,"4,249","14,590",(70.9),Kazakhstan,"2,333","2,399",(2.8)
