0,1,2,3,4,5
,Foreign Visitors to Cultural Triangle and Revenue from Sale of Tickets- 1988 to 2020,,,,
Year,No. of Tourists,Revenue,Year,No. of Tourists,Revenue
,,(in Rs. Mn),,,(in Rs .Mn)
,,,2005,"110,443",284.7
1988,"74,062",14.1,,,
,,,2006,"138,232",400.9
1989,"79,683",19.2,,,
,,,2007,"104,583",279.8
1990,"124,382",44.7,,,
,,,2008,"112,190",307.5
1991,"132,641",69.6,,,
,,,2009,"109,404",402.8
1992,"153,817",102.3,,,
,,,2010,"197,947",743.5
1993,"148,913",149.6,,,
,,,2011,"239,920",998.2
1994,"168,402",176.1,,,
,,,2012,"592,980","1,330.7"
1995,"166,661",168.7,,,
,,,2013,"504,699","1,727.1"
1996,"102,788",121.2,,,
,,,2014,"627,136","2,178.5"
1997,"144,517",186.0,,,
,,,2015,"355,370","1,236.7"
1998,"165,463",225.0,,,
,,,2016,"905,333","3,363.3"
1999,"207,398",300.5,,,
,,,2017,"978,606","3,774.4"
2000,"155,167",276.0,,,
,,,2018,"979,171","4,199.5"
2001,"129,201",222.0,,,
,,,2019,"730,854","3,288.1"
2002,"131,804",242.8,,,
2003,"212,521",403.3,2020,"185,350",830.6
2004,"246,380",543.1,,,
