0,1,2,3,4,5,6,7,8,9,10,11,12,13
Country of,,,,,,,,,,,,,
,Arrivals,Pleasure/ Vacation VISITING,FRIENDS AND RELATIVES,Business,MICE,,Health / Ayurveda,Sports,,Education,Official,Religious,Others
Residence,,,,,,,,,,,,,
,"31,843","23,820","7,005",537,,308,53,,97,9,8,6,0
AMERICAS,,,,,,,,,,,,,
,"29,627","21,817","6,926",492,,272,48,,50,8,8,6,0
North America,,,,,,,,,,,,,
,"12,436","7,142","5,114",100,,43,10,,24,1,2,0,0
Canada,,,,,,,,,,,,,
,349,327,8,10,,4,0,,0,0,0,0,0
Mexico,,,,,,,,,,,,,
,"16,842","14,348","1,804",382,,225,38,,26,7,6,6,0
United States,,,,,,,,,,,,,
,226,167,17,7,,5,2,,28,0,0,0,0
Caribbean &,,,,,,,,,,,,,
Central America,,,,,,,,,,,,,
,33,32,0,1,,0,0,,0,0,0,0,0
Costa Rica,,,,,,,,,,,,,
,25,15,2,0,,0,0,,8,0,0,0,0
Jamaica,,,,,,,,,,,,,
,168,120,15,6,,5,2,,20,0,0,0,0
Others,,,,,,,,,,,,,
South America,"1,990","1,836",62,38,,31,3,,19,1,0,0,0
,416,396,7,5,,1,1,,6,0,0,0,0
Argentina,,,,,,,,,,,,,
,875,808,23,27,,9,0,,7,1,0,0,0
Brazil,,,,,,,,,,,,,
,271,252,8,4,,6,1,,0,0,0,0,0
Chile,,,,,,,,,,,,,
,201,185,5,2,,8,0,,1,0,0,0,0
Colombia,,,,,,,,,,,,,
,227,195,19,0,,7,1,,5,0,0,0,0
Others,,,,,,,,,,,,,
