0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 10(Contd.),,,,,,,,,,,,,,,
Central / Eastern,,,,,,,,,5,,,0,,0,
,"100,766","96,634","3,208",228,69,,289,316,,,17,,,,
Europe,,,,,,,,,,,,,,,
Belarus,"2,638","2,559",70,1,,0,3,5,,0,0,,0,,0
Czech Republic,"7,599","7,438",117,7,,7,21,9,,0,0,,0,,0
Estonia,"1,185","1,157",12,3,,6,6,1,,0,0,,0,,0
Hungary,"1,588","1,516",52,7,,2,7,4,,0,0,,0,,0
Kazakhstan,"2,333","2,271",42,0,,0,0,20,,0,0,,0,,0
Lithuania,"1,054","1,007",36,4,,0,5,2,,0,0,,0,,0
Poland,"11,908","11,466",323,75,,7,26,11,,0,0,,0,,0
Romania,"1,724","1,597",65,30,,12,6,11,,0,3,,0,,0
Russian Federation,"49,397","47,354","1,676",61,,15,68,208,,3,12,,0,,0
Slovakia,"1,513","1,365",34,0,,1,112,1,,0,0,,0,,0
Ukraine,"17,169","16,376",711,15,,1,20,42,,2,2,,0,,0
Others,"2,658","2,528",70,25,,18,15,2,,0,0,,0,,0
Southern /,,,,,,,,,,,,,,,
Mediterranean,,,,,,,,,,,10,,,,
,"23,455","21,720",861,556,,171,109,28,,0,,,0,,0
Europe,,,,,,,,,,,,,,,
,"1,573","1,358",26,139,,43,7,0,,0,0,,0,,0
Greece,,,,,,,,,,,,,,,
Italy,"8,603","7,826",463,195,,61,46,5,,0,7,,0,,0
Portugal,"1,602","1,521",37,19,,8,14,3,,0,0,,0,,0
Spain,"3,385","3,176",103,68,,20,11,6,,0,1,,0,,0
Turkey,"2,121","1,968",62,69,,20,1,0,,0,1,,0,,0
Israel,"3,556","3,391",116,26,,6,5,12,,0,0,,0,,0
Others,"2,615","2,480",54,40,,13,25,2,,0,1,,0,,0
