0,1,2,3,4,5,6,7,8,9,10,11,12,13
Country of,,,,,,,,,,,,,
,Arrivals,Vacation Pleasure/ VISITING,AND FRIENDS RELATIVES,Business,MICE,,Health / Ayurveda,Sports,,Education,Official,Religious,Others
Residence,,,,,,,,,,,,,
,"31,843","23,820","7,005",537,,308,53,,97,9,8,6,0
AMERICAS,,,,,,,,,,,,,
,"29,627","21,817","6,926",492,,272,48,,50,8,8,6,0
North America,,,,,,,,,,,,,
,"12,436","7,142","5,114",100,,43,10,,24,1,2,0,0
Canada,,,,,,,,,,,,,
,349,327,8,10,,4,0,,0,0,0,0,0
Mexico,,,,,,,,,,,,,
,"16,842","14,348","1,804",382,,225,38,,26,7,6,6,0
United States,,,,,,,,,,,,,
