0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2011,"855,975","119,875","8,560","91,926.00",838.9,603.4,530.2,98,10,"14,653","28,844",77.1,"1,210,951","1,239,290","57,786","80,899"
2012,"1,005,605","126,523","10,056","132,427.00",1038.3,807.5,677.7,103,10,"15,510","30,880",71.2,"1,210,914","1,268,792","67,862","95,007"
2013,"1,274,593","140,009","10,909","221,147,1","1,715.50","1,291.40","1,128.80",157,8.6,"16,223","32,284",71.7,"1,200,788","1,261,711","112,550","157,600"
2014,"1,527,153","138,097*","15,119*","317,501.70","2,431.10","1,830.00","1,600.30",161,9.9,"18,078","35,976",74.3,"1,263,494","1,311,063","129,790","170,100"
2015,"1,798,380","195,134*","18,163*","405,492.00","2,980.60","2,686.10","2,129.70",164,10.1,"18,954","37,720*",74.5,"1,361,877","1,356,411","135,930","183,506"
2016,"2,050,832","116,544*","20,918*","512,593.60","3,518.50","3,178.90","2,531.30",168,10.2,"21,888","45,965",74.76,"1,485,004","1,447,786","146,115","189,544"
2017,"2,116,407","131,409*","23,068*","598,356.00","3,924.90","3,484.30","2,829.20",170,10.9,"23,477","48,550",73.27*,"1,481,239","1,439,429","156,369*","202,846*"
2018,"2,333,796","186,862*","25,205*","712,027.30","4,380.6*","3,714.3*","3,097.1*",174,10.8,"24,757","52,237",72.77*,"1,484,891","1,471,481","169,003*","219,484*"
2019,"1,913,702","113,449","19,902*",646.362.3*,"3,606.9*","3,221.9*","2,611.1*",181,10.4,"24,831","52,393",57.09*,"1,424,095","1,441,462","173,592*","229,015*"
2020,"507,704","32,215","4,315*","126,608.1*",682.5*,597.0*,489.6*,158.1*,8.5,"25,407","53,269",14.96*,"320,996","305,143","175,990*","171,761*"
,*Provisional,,,,,,,,,,,,,,,
