0,1,2,3
able 37,,,
"Revenue from Embarkation Tax (in Rs,'000) - 1988 to 2020",,,
,,,Total Amount in
Year,Total Amount in Rs.'000,Year,
,,,Rs.'000
1988,"37,201.20",2004,"566,202.00"
1989,"53,861.00",2005,"823,962.00"
1990,"99,020.30",2006,"839,404.50"
1991,"130,943.10",2007,"741,012.00"
1992,"177,151.10",2008,"738,812.90"
1993,"196,125.00",2009,"766,266.70"
1994,"203,755.50",2010,"1,000,080.00"
1995,"201,505.50",2011,"1,041,700.00"
1996,"151,132.50",2012,"1,161,686.00"
1997,"183,082.50",2013,"1,604,887.10"
1998,"190,531.50",2014,"1,779,766.10"
1999,"218,220.00",2015,"1,968,541.10"
2000,"200,207.00",2016,"2,335,444.20"
2001,"269,268.00",2017,"2,378,828.21"
2002,"393,171.00",2018,"2,824,969.83"
2003,"500,646.00",2019,"2,089,294.25"
,,2020,"65,346.35"
