0,1
,
District,No of Rooms
Colombo,"8,2 89"
Galle,"5,875"
Gampaha,"3,630"
Kalutara,"3,434"
Kandy,"3,272"
Matale,"1,909"
Nuwara Eliya,"1,779"
Hambantota,"1,732"
Matara,"1,608"
"Anuradhapura 
Puttalam","1,217 
1,105"
Batticaloa,939
Badulla,889
Ampara,679
Trincomalee,671
Pollonnaruwa,668
Ratnapura,571
Monaragala,544
Jaﬀna,522
Kurunegala,453
Kegalle,348
Vavuniya,81
Kilinochchi,63
Mulativu,50
Mannar,37
Total Rooms,"40,365"
