0,1,2,3,4,5,6
India,Residence,"2016 
356,729","2017 
384,628","2018 
424,887",2019,"January
355,002"
,United Kingdom,"188,159","201,879","254,176",,"198,776"
,China ( PR),"271,577","268,952","265,965",,"167,863"
Germany,,"133,275","130,227","156,888",,"134,899"
Australia,,"74,496","81,281","110,928",,"92,674"
France,,"96,440","97,282","106,449",,"87,623"
Russia,,"58,176","59,191",,"64,497","86,549"
,United States,"54,254","57,479",,"75,308","68,832"
Maldives,,"95,167","79,371",,"76,108","60,278"
Canada,,"44,122","46,896",,"52,681","48,729"
,Netherlands,"41,373","51,148",,"57,160","38,993"
Italy,,"29,791","31,428",,"38,379","36,147"
Ukraine,,"31,302","32,346",,"36,515","35,051"
Japan,,"43,110","44,988",,"49,450","30,079"
,Switzerland,"26,282","28,402",,"33,965","29,981"
Spain,,"19,425","22,361",,"29,208","24,489"
Sweden,,"21,589","24,275",,"28,267","22,464"
Poland,,"14,432","15,346",,"20,378","20,896"
,Czech Republic,"17,858","15,712",,"17,600","19,204"
Denmark,,"18,097","18,647",,"19,223","16,869"
Malaysia,,"24,727","26,414",,"22,808","16,861"
,,,,,,
,Saudi Arabia,"38,836","35,481",,"34,703","15,707"
Belgium,,"14,387","14,616",,"17,519","14,948"
Israel,,"10,391","11,080",,"13,833","14,770"
Austria,,"16,995","17,466",,"19,320","14,713"
Pakistan,,"29,965","31,815",,"19,116","14,655"
,Philippines,"12,747","16,845",,"19,303","14,590"
,Singapore,"19,033","19,457",,"19,861","13,871"
Norway,,"12,790","14,159",,"17,217","13,446"
,NEW Zealand,"9,045","10,332",,"13,825","12,463"
,South Korea,"14,520","15,963",,"15,748","12,195"
Thailand,,"9,462","10,828",,"9,178","9,861"
,Bangladesh,"17,098","15,510",,"10,487","8,261"
Ireland,,"7,912","9,806",,"10,830","8,254"
,South Africa,"5,208",,"5,726","7,416","7,132"
,,,,,,
,Taiwan (P.C.),"6,252","7,636",,"8,187","7,127"
Finland,,"6,682","7,334",,"8,888","7,028"
Greece,,"6,146","5,651",,"7,778","6,980"
Romania,,"4,189","4,652",,"5,931","5,463"
Nepal,,"12,838",,"5,144","5,302","5,414"
Portugal,,"3,931","5,060",,"5,933","Country of 
5,193"
