0,1,2,3,4,5,6,7,8
"Tourism Sri Lanka 2020 - June
TOURIST ARRIVALS TO SRI LANKA
Rank 
43 
44 
45 
46 
47 
48 
49 
50 
51 
52 
53 
54 
55 
56 
57 
58 
59 
60 
61 
62 
63 
64 
65 
66 
67 
68 
69 
70 
71 
72 
73 
74 
75 
76 
77 
78 
79 
80",,,,,,,,"539 
401 
1,099 
212 
768 
758 
404 
199 
330 
465 
190 
361 
467 
146 
514 
287 
394 
1,182 
404 
331 
225 
45 
224 
116 
69 
125 
128 
85 
71 
107 
88 
99 
67 
65 
137 
12 
6 
2,450"
,,"Country of 
Residence",2016,2017,2018,2019,"2020 
January",
,,,,,,,,
,Slovakia,,"5,550","6,579","5,289","4,944",,
,,Indonesia,"16,047","25,806","5,365","4,919",,
,Belarus,,"4,387","4,268","4,621","4,796",,
,,Lebanon,"6,169","7,152","5,521","4,304",,
,Oman,,"13,268","8,343","6,846","4,117",,
,,Hungary,"3,911","4,951","4,514","4,091",,
,Egypt,,"3,432","3,907","3,854","3,708",,
,UAE,,"8,475","7,136","5,785","3,528",,
,Iran,,"4,400","6,816","5,720","3,249",,
,Kuwait,,"5,726","4,327","3,465","3,239",,
,,Myanmar,"3,286","4,365","3,241","3,124",,
,Jordan,,"4,290","5,165","3,156","3,085",,
,Brazil,,"1,727","1,822","2,774","2,964",,
,,Cambodia,881,"1,311",771,"2,841",,
,,Lithuania,"2,304","2,959","3,386","2,793",,
,,Vietnam,"2,200","2,551","3,189","2,643",,
,Estonia,,"2,761","2,881","2,744","2,516",,
,,Kazakhstan,"7,769","6,122","2,721","2,399",,
,Bahrain,,"3,119","3,296","2,858","2,285",,
,Croatia,,"1,962","2,136","2,181","1,922",,
,,Seychelles,"2,406",422,416,"1,864",,
,Kenya,,845,853,874,"1,559",,
,,Argentina,706,921,"1,809","1,403",,
,Yemen,,"1,855","1,725","1,367","1,114",,
,Qatar,,"1,683","1,859","1,676","1,063",,
,Morocco,,"1,075","1,121","1,036","1,031",,
,Chile,,579,631,"1,002",,938,
,,Palestine,"1,227","1,426","1,078",,871,
,Iraq,,"1,035","1,111","1,021",,852,
,,Mauritius,652,703,720,,739,
,,Colombia,600,710,702,,713,
,Cyprus,,426,558,672,,709,
,Sudan,,887,"1,078",858,,584,
,,Afghanistan,860,745,861,,473,
,Bhutan,,468,737,679,,343,
,Nigeria,,444,416,412,,172,
,Comoros,,366,303,191,,128,
,Others,,"10,372","1,772","24,944","22,377",,
"Total  
2,050,832 
2,116,407 
2,333,796 
1,913,702 
www.sltda.lk/statistics",,,,,,,,"228,434"
