0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Port,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Katunayake -,99.9,99.9,99.8,99.7,98.8,98.1,98.6,98.7,98.3,96.28,94.83,97.12,97.12,97.12,93.56
(BIA),,,,,,,,,,,,,,,
Mattala - (MRIA),−,−,−,−,0.1,0.1,0,0.1,0.65,0.04,0.01,0.12,0.12,0.12,4.78
TOTAL AIR,99.9,99.9,99.8,99.7,98.9,98.2,98.6,98.8,98.95,96.32,94.84,97.24,97.24,97.24,98.34
Galle Harbour,−,−,−,−,0.8,1.4,1.1,0.4,0.53,2.94,4.13,2.7,2.7,2.7,0.70
Colombo,0.1,0.1,0.2,0.3,0.3,0.4,0.3,0.8,0.48,0.62,0.77,0.03,0.03,0.03,0.03
Harbour,,,,,,,,,,,,,,,
Other Ports,−,−,−,−,−,−,−,−,0.04,0.12,0.26,0.03,0.03,0.03,0.93
TOTAL SEA,0.1,0.1,0.2,0.3,1.1,1.8,1.4,1.2,1.05,3.68,5.16,2.76,2.76,2.76,1.66
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
