0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Country,,Pleasure/ Vacation,Visiting Friend and Relatives,MICE,Business,Health,Sports,,Education,,Religious,,Official,,Other or not responded
,Total,,,,,,,,,,,,,,
Western Europe,"233,297","160,338","36,225","11,187","2,335","6,445",,228,,78,,63,,7,"16,391"
Austria,"10,594","8,405",443,406,88,609,,6,,3,,2,,0,632
Belgium,"10,667","8,622",677,636,153,21,,9,,0,,2,,0,547
France,"56,251","36,997","10,762","4,207",623,161,,102,,25,,18,,3,"3,353"
Germany,"102,539","70,959","13,061","3,850",754,"4,682",,71,,27,,22,,4,"9,109"
Netherlands,"29,056","22,468","3,549","1,002",495,107,,23,,15,,5,,0,"1,392"
Switzerland,"23,556","12,377","7,705","1,058",217,844,,16,,8,,14,,0,"1,317"
Others,634,510,28,28,5,21,,1,,0,,0,,0,41
Central / Eastern Europe,,,"5,640","21,641",753,"1,630",,151,,63,,29,,,
,"276,921","147,204",,,,,,,,,,,19,,"99,791"
Belarus,"10,969","6,038",187,939,14,6,,1,,0,,0,,0,"3,784"
Czech Republic,"12,056","9,829",217,"1,082",34,203,,13,,2,,3,,0,673
Estonia,"1,808","1,496",31,119,20,12,,2,,0,,0,,0,128
Hungary,"3,786","3,167",91,205,25,25,,3,,2,,1,,0,267
Kazakhstan,"5,130","2,521",73,727,42,15,,5,,0,,0,,0,"1,747"
Lithuania,"2,722","2,115",44,270,29,33,,3,,0,,0,,1,227
Poland,"17,946","14,022",278,"1,965",131,77,,13,,13,,0,,0,"1,447"
Romania,"4,092","2,984",170,326,158,14,,2,,3,,1,,0,434
Russian Federation,"197,498","91,335","4,011","13,586",155,166,,44,,30,,21,,18,"88,132"
Slovakia,"4,464","2,997",63,203,22,991,,2,,0,,0,,0,186
Ukraine,"5,082","2,851",235,774,39,31,,7,,5,,3,,0,"1,137"
Others,"11,368","7,849",240,"1,445",84,57,,56,,8,,0,,0,"1,629"
