0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2009,"447,890","89,526","4,075","40,133.0",349.3,250.5,226.5,81.8,9.1,"14,461","28,344",48.4,"914,584","962,786","52,071","72,899"
2010,"654,476","112,497","6,548","65,018.0",575.9,433.2,376.9,88.0,10.0,"14,714","28,978",70.1,"1,081,417","1,122,212","55,023","77,032"
2011,"855,975","119,875","8,560","91,926.0",838.9,603.4,530.2,98.0,10.0,"14,653","28,844",77.1,"1,210,951","1,239,290","57,786","80,899"
2012,"1,005,605","126,523","10,056","132,427.0",1038.3,807.5,677.7,103.0,10.0,"15,510","30,880",71.2,"1,210,914","1,268,792","67,862","95,007"
2013,"1,274,593","140,009","10,909","2,211,471","1,715.5","1,291.4","1,128.8",156.5,8.6,"16,223","32,284",71.7,"1,200,788","1,261,711","112,550","157,600"
2014,"1,527,153","138,097*","15,119*","317,501.7","2,431.1","1,830.0","1,600.3",160.8,9.9,"18,078","35,976",74.3,"1,263,494","1,311,063","129,790","170,100"
2015,"1,798,380","195,134*","18,163*","405,492.0","2,980.6","2,686.1","2,129.7",164.1,10.1,"18,954","37,720*",74.5,"1,361,877","1,356,411","135,930","183,506"
2016,"2,050,832","116,544*","20,918*","512,593.6","3,518.5","3,178.9","2,531.3",168.2,10.2,"21,888","45,965",74.76,"1,485,004","1,447,786","146,115","189,544"
2017,"2,116,407","131,409*","23,068*","598,356.0","3,924.9","3,484.3","2,829.2",170.1,10.9,"23,477","48,550",73.27*,"1,481,239","1,439,429","156,369*","202,846*"
2018,"2,333,796","186,862*","25,205*","712,027.3","4,380.6*","3,714.3*","3,097.1*",173.8,10.8,"24,757","52,237",72.77*,"1,484,891","1,471,481","169,003*","219,484*"
2019,"1,913,702","113,449","19,902*","644,846.9",3606.9*,"3,222.0","2,611.1",181.2,10.4,"24,831","52,393",57.09,"1,424,095","1,441,462","173,592","229,015*"
2020,"507,704","32,215*","4,315*","126,608.1*",682.5*,597.0*,489.6*,158.1*,8.5,"25,407","53,269",14.96*,"320,996","305,143","175,990*","171,761*"
2021,"194,495",600*,"2,936","100,813.2*",506.9*,428.5,356.0,172.6*,15.1,"25,958","54,512",18.6*,"344,719","309,220","177,476*","180,451*"
2022,"719,978","38,811*","6,724","362,426","1,136.3*","1,074",843,164.4*,9,"25,597","53,754",30.4*,"894,873","1,127,512","190,521*","195,715*"
2023,"1,487,303","100,431","12,553","677,360.3","2,067.90","1,912.9","1,550",164.4*,8.4,"26,422","54,576",39.0 *,"1,249,965","1,462,246","204,591*","225,050*"
*Provisional,,,,,,,,,,,,,,,,
