0,1,2,3,4,5,6
,,Share of Total Seating Capacity by Carrier - 2016,,,,
,60.00,,,,,
,,,,Air Line,Winter,Sum m er
,50.00,,,,,
,,,,Srilankan Airlines,47.20,47.90
,40.00,,,Emirates,9.10,9.60
Share of Total Sea(cid:2)ng Capacity,,,,Mihin Air,6.80,7.20
,30.00,,,,,
,,,,Qutar Airways,5.70,4.20
,,,Winter,,,
,20.00,,,Malaysian Airlines,1.20,1.30
,,,Summer,,,
,,,,Cathay Pacific,1.70,1.80
,10.00,,,,,
,,,,Singapore Air,2.10,2.20
,0.00,,,Saudi Arabian A/l,1.20,1.30
,,,,Air Arabia,1.40,1.40
,,,,Air India Express,0.90,1.00
,,,,Others,22.70,22.10
,,Air Lines,,,,
