0,1,2,3,4,5,6,7
,,Total,,Sri Lankan Residents,,,Foreign Tourists
Port,,,,,,,
,Arrivals,,Departures,Arrivals,Departures,Arrivals,Departures
Katunayake,"3,506,488",,"3,580,899","1,481,340","1,442,645","2,025,148","2,138,254"
Mattala,"2,262",,"2,697",845,"1,225","1,417","1,472"
TOTAL AIR,"3,508,750",,"3,583,596","1,482,185","1,443,870","2,026,565","2,139,726"
Colombo,,,,,,,
,"10,792",,"10,055","1,670","2,694","9,122","7,361"
Harbour,,,,,,,
Galle Harbour,"15,531",,"13,807","1,009","1,037","14,522","12,770"
Other ports,763,,813,140,185,623,628
TOTAL SEA,"27,086",,"24,675","2,819","3,916","24,267","20,759"
Grand Total,"3,535,836",,"3,608,271","1,485,004","1,447,786","2,050,832","2,160,485"
