0,1,2,3,4,5
"able 2. Top ten source markets to Sri Lanka, July 2022",,,,,
,,,Tourist Arrivals (July 2022),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,By Air,By Sea,Total,(July 2021)
,,,-,,
1,United Kingdom,"9,257",-,"9,257",342
2,India,"6,031",,"6,031",8
3,Germany,"3,666",-,"3,666",215
4,France,"3,567",-,"3,567",147
5,Canada,"3,458",-,"3,458",178
6,Switzerland,"2,207",-,"2,207",123
7,Netherlands,"2,053",-,"2,053",72
8,Australia,"1,974",-,"1,974",15
9,Russian Federation,"1,918",-,"1,918",66
10,Spain,"1,499",-,"1,499",15
