0,1,2,3,4,5,6,7,8,9
,,Establishments - 2004 to 2012,,,,,,,
Resort Regions,2004,2005,2006,2007,2008,2009,2010,2011,2012
A. Accommodation Capacity -,,,,,,,,,
Graded Establishments,,,,,,,,,
(a). No. of Units,240,223,241,245,256,242,253,252,269
(b). No. of Rooms,"14,322","13,162","14,218","14,604","14,793","14,461","14,714","14,653","15,510"
(c). No. of Beds,"26,938","24,740","27,117","27,500","28,698","28,344","28,978","28,844","30,399"
B.Accommodation Capacity -,,,,,,,,,
Supplementary Establishments,,,,,,,,,
(a). No. of Units,345,415,508,513,578,629,530,551*,620
(b). No. of Rooms,"3,318","3,962","4,989","5,030","5,397","5,946","5,895","5,980*","6,577"
(c). No. of Beds,"5,640","6,537","8,232","8,299","9,712","11,654","11,210","11,654*","13,113"
C. Guest Nights - Graded,,,,,,,,,
Establishments,,,,,,,,,
(a). Foreign,"4,394,404","2,857,575","3,134,243","2,777,599","2,763,223","2,818,487","4,126,544","5,011,480","5,038,066"
(b). Local,"969,343","818,207","806,143","1,051,077","979,438","1,163,220","1,464,098","1,607,393","1,457,063"
D. Guest Nights -,,,,,,,,,
Supplementary Establishments,,,,,,,,,
(a). Foreign,"349,510","391,520","680,604","598,931","701,254","779,317","1,249,146","2,247,407","2,372,266"
(b). Local,"402,477","474,095","495,957","497,321","421,987","471,730","425,350","574,958","682,374"
E.Tourist Nights (Total),"5,742,425","4,754,085","5,793,588","4,940,080","4,165,511","4,075,.799","6,544,760","8,559,750","10,056,050"
(a). Graded Establishments,"4,394,404","2,857,575","3,134,243","2,777,599","2,763,223","2,818,487","4,126,544","5,011,480","5,038,066"
(b). Supplementary Establishments,"349,510","391,520","680,604","598,931","701,254","779,317","1,249,146","2,241,407","2,372,266"
©.  Others,"998,511","1,504,990","1,978,741","1,563,550","701,034","477,995","1,169,070","1,306,863","2,645,718"
