0,1,2,3,4,5,6,7
,,Revenue from Sale of Tickets - 1985 to 2012,,,,,
Year,Total no. of,Collection,,,,,
,foreign visitors,in Rs.’000,,,,,
1985,"8,813","217,6",,,,,
1986,"15,088",352.9,,,,,
,,,,Details by Museums - 2012,,,
1987,"5,538",138.5,,,,,
1988,"12,315",254.0,,,,,
,,,,,Foreign Tickets,,Local Tickets
1989,"20,354",479.3,,,,,
,,,Museums,,,,
1990,"38,248",902.1,,No. of,Revenue,No. of,Revenue
,,,,Foreign,(in Rs.),Domestic,(in Rs.)
1991,"22,159",821.4,,,,,
,,,,Tourists,,Tourists,
1992,"26,920","1,005.8",,,,,
1993,"31,373","1,180.8",,,,,
,,,Colombo National Museum,"25,689","12,639,300","193,472","4,007,270"
1994,"31,229","1,154.1",,,,,
1995,"24,997","1,171.0",National History Museum,909,"266,100","36,083","523,645"
1996,"13,278",622.2,,,,,
1997,"13,916",712.1,Kandy National Museum,"3,057","1,513,300","29,466","318,755"
1998,"14,417",738.7,,,,,
,,,Ratnapura National Museum,111,"32,550","16,646","173,265"
1999,"16,686",860.7,,,,,
2000,"10,122",506.2,,,,,
,,,Galle National Museum,"2,673","789,000","24,846","276,155"
2001,"11,157",620.4,,,,,
2002,"13,577",769.0,Anuradhapura Folk Museum,69,"20,550","4,548",48470
2003,"19,213","1,181.1",,,,,
2004,"23,883","1,463.2",Dutch Museum,"1,119","554,500","4,423","82,085"
2005,"15,281","3,937.6",,,,,
,,,Galle Maritime Museum,"2,822","829,650","39,409","405,015"
2006,"13,771","6,522.5",,,,,
2007,"9,040","4,190.9",,,,,
,,,Independence Memorial Museum,856,"197,550","29,231","199,855"
2008,"7,353","3,340.6",,,,,
2009,"10,244","4,636.4",Total,"37,305","16,842,500","378,124","6,034,515"
2010,"22,061","9,868.6",,,,,
2011,"31,096","14,200.0",Source : Department of National Museum,,,,
2012,"37,305","16,843.0",,,,,
