0,1,2,3,4
,Public Sector Revenue from Tourism (In Rs. Million) 2009 - 2012,,,
Source of Revenue,2009,2010,2011,2012
Tourism Development Levy,405.2,516.9,649.7,809.4
Tourism Development Authority Income,48.9,54.8,110.1,130.3
Embarkation Tax on Foreign Tourists,766.3,"1,000.1","1,041.7","1,161.7"
Cultural Triangle,402.8,743.5,998.2,"1,330.7"
Botanical Gardens,72.3,123.2,253.9,279.0
Zoological Gardens,201.7,410.1,470.2,480.7
Wild Life Parks,103.9,227.2,301.0,424.8
Museums,4.6,9.9,14.2,16.8
BMICH,146.7,133.4,178.3,239.2
Total,"2,152.4","3,219.1","4,017.3","4,872.6"
