0,1,2,3,4,5,6,7,8,9,10,11
,,Percentage Distribution by Sex & Age - 2003 to 2012,,,,,,,,,
,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Sex,Male,58.7,58.9,62.5,63.0,60.2,60.4,59.7,54.1,59.2,55.4
,Female,41.3,41.1,37.5,37.0,39.8,39.6,40.3,45.9,40.8,44.6
Age Group,3 - 19,7.9,9.0,9.8,9.6,9.6,10.1,9.6,10.3,11.6,10.6
,20 - 29,30.1,23.1,18.3,18.9,17.1,14.8,15.3,15.0,16.9,19.2
,30 - 39,28.7,26.4,24.3,24.0,27.6,28.7,28.4,28.1,22.6,25.9
,40 - 49,17.5,20.6,23.0,23.6,30.3,27.4,28.6,28.9,26.6,25.1
,50 - 59,8.9,12.8,15.4,14.5,8.3,11.7,11.5,12.9,11.7,10.2
,60 & Over,6.9,8.1,9.3,9.4,6.9,7.3,6.6,4.8,10.6,9.0
