0,1,2,3,4,5,6,7
,,,Private &,Convention,Visiting,Religious,
Country of,,,Official,&,Friends &,&,
Residence,Total,Pleasure,Business,Meetings,Relations,Cultural,Others
NORTH AMERICA,"59,236","45,892","4,439",886,"6,815","1,011",193
Canada,"29,329","22,664","2,346",587,"3,226",412,94
U.S.A.,"29,907","23,228","2,093",299,"3,589",599,99
LATIN AMERICA &,,,,,,,
THE CARIBBEAN,"1,626","1,098",98,49,182,33,166
WESTERN EUROPE,"373,063","281,183","29,991","8,910","44,289","6,590","2,100"
Austria,"7,991","6,274",559,80,719,145,214
Belgium,"11,323","8,846","1,019",226,906,176,150
Denmark,"8,323","6,382",666,166,801,101,207
Finland,"4,840","3,764",339,97,451,69,120
France,"56,863","43,724","5,686","1,137","5,786",453,77
Germany,"71,642","53,741","4,299","2,866","9,313","1,390",33
Italy,"15,871","12,024","1,111",476,"1,746",342,172
Netherlands,"26,754","21,643","1,338",268,"2,876",564,65
Norway,"7,703","6,223",308,179,669,154,170
Spain,"8,319","6,574",499,190,840,135,81
Sweden,"13,775","10,757",964,219,"1,432",239,164
Switzerland,"20,054","15,227","1,404",439,"2,342",389,253
U.K,"114,218","81,964","11,422","2,435","15,897","2,341",159
Others,"5,387","4,040",377,132,511,92,235
EASTERN EUROPE,"72,401","56,113","5,419","1,507","7,621","1,377",364
Russia,"28,402","21,167","2,556",643,"3,408",546,82
Ukraine,"22,348","17,564","1,564",564,"2,123",410,123
Others,"21,651","17,382","1,299",300,"2,090",421,159
AFRICA,"5,045","3,776",353,93,672,99,52
MIDDLE EAST,"56,169","43,315","3,370",867,"7,532",921,164
ASIA,"380,289","273,441","40,659","8,532","44,253","11,630","1,774"
China (P.R.),"25,781","13,829","7,734",671,"2,908",511,128
"Hong Kong, China","1,535","1,189",76,29,201,29,11
India,"176,340","124,325","19,397","3,765","20,939","7,647",267
Indonesia,"2,890","2,168",231,89,312,58,32
Japan,"26,085","19,324","2,348",721,"2,986",522,184
Korea (South),"7,838","5,990",549,190,809,157,143
Malaysia,"21,776","16,243","1,960",653,"2,345",423,152
Maldives,"47,572","37,202","3,330","1,090","4,908",897,145
Pakistan,"16,056","12,243","1,284",23,"1,965",423,118
Philippines,"5,687","4,379",341,92,569,88,218
Singapore,"17,273","12,581",864,456,"2,867",345,160
Thailand,"7,897","6,239",316,187,981,158,16
Taiwan (P.C.),"12,703","9,664","1,143",290,"1,342",211,53
Others,"10,856","8,065","1,086",276,"1,121",161,147
AUSTRALASIA,"57,776","43,618","5,711","1,376","6,156",710,205
Australia,"51,614","39,026","5,161","1,123","5,498",672,134
New Zealand,"5,641","4,231",508,234,598,28,42
Others,521,361,42,19,60,10,29
Total,"1,005,605","748,436","90,040","22,220","117,520","22,371","5,018"
