0,1,2,3,4,5,6,7,8,9
,,,,,Scientists,,Other,No,
Country of,,Business-,Profess-,Execu-,,Educa-,,,Retired
,,,,,& Tech-,,Occupa-,Occupa-,
Residence,Total,men,ionals,tives,,tionists,,,Persons
,,,,,nicians,,tion,tion,
NORTH AMERICA,"59,236","5,780","4,165","9,574","4,999","4,394","12,458","12,940","4,926"
Canada,"29,329","2,872","1,825","4,232","2,102","2,490","6,768","7,231","1,809"
U.S.A.,"29,907","2,908","2,340","5,342","2,897","1,904","5,690","5,709","3,117"
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"1,626",35,212,112,283,129,383,296,176
WESTERN EUROPE,"373,063","36,344","37,958","64,387","39,755","28,281","70,401","53,723","42,214"
Austria,"7,991",654,690,897,956,765,"2,341",821,867
Belgium,"11,323",822,"2,736","2,385",823,645,"2,121",911,880
Denmark,"8,323",631,711,"1,101",742,911,"1,728","1,621",878
Finland,"4,840",309,169,489,314,193,"1,242",464,"1,660"
France,"56,863","7,826","4,536","8,632","4,984","4,121","1,625","5,997","19,142"
Germany,"71,642","8,096","7,553","9,487","9,870","7,123","16,230","7,928","5,355"
Italy,"15,871","1,526","1,728","2,453","2,534",719,"3,381","1,972","1,558"
Netherlands,"26,754","1,524","1,325","4,383","3,009","2,454","6,733","5,330","1,996"
Norway,"7,703",736,"1,147","2,367","1,214",278,845,646,470
Spain,"8,319",911,726,"1,172",837,837,"1,342",837,"1,657"
Sweden,"13,775","1,121","1,726","1,423","1,111",922,"3,009","2,762","1,701"
Switzerland,"20,054","2,134","2,423","2,982","2,298","2,529","2,290","2,990","2,408"
U.K,"114,218","9,823","11,726","25,634","10,232","6,342","26,532","20,923","3,006"
Others,"5,387",231,762,982,831,442,982,521,636
EASTERN EUROPE,"72,401","8,714","10,645","15,024","6,964","5,902","11,709","7,096","6,347"
Russia,"28,402","2,841","3,892","6,096","2,543","3,811","4,091","2,931","2,197"
Others,"43,999","5,873","6,753","8,928","4,421","2,091","7,618","4,165","4,150"
AFRICA,"5,045",491,489,911,627,590,843,673,421
MIDDLE EAST,"56,169","3,786","2,762","9,727","5,671","2,876","12,786","16,722","1,839"
ASIA,"380,289","87,240","51,638","57,436","34,964","21,368","74,922","31,600","21,121"
China (P.R.),"25,781","3,121","1,981","3,190","4,536","2,800","5,879","1,781","2,493"
"Hong Kong, China","1,535",131,139,374,201,121,165,266,138
India,"176,340","56,339","16,725","21,781","13,241","5,643","44,352","13,425","4,834"
Indonesia,"2,890",211,156,321,221,657,713,534,77
Japan,"26,085","2,876","4,352","4,530","2,781",711,"6,453","3,141","1,241"
Korea (South),"7,838","2,563","1,812","1,342",754,234,624,231,278
Malaysia,"21,776","2,765","3,425","4,874","2,131","1,231","3,521","1,182","2,647"
Maldives,"47,572","8,907","10,987","8,765","3,232","3,210","5,760","2,314","4,397"
Pakistan,"16,056","4,252","1,231","1,782",928,736,"2,982","3,121","1,024"
Philippines,"5,687",627,825,827,962,892,442,525,587
Singapore,"17,273","1,892","2,341","5,462","2,341","1,324",971,"1,897","1,045"
Thailand,"7,897",782,"1,270",726,"1,189",928,901,"1,001","1,100"
Taiwan (P.C.),"12,703","1,342","3,411","1,701","1,456","2,009","1,373",840,571
Others,"10,856","1,432","2,983","1,761",991,872,786,"1,342",689
AUSTRALASIA,"57,776","5,939","6,465","11,460","7,102","4,964","9,855","7,370","4,621"
Australia,"51,614","5,372","5,436","10,928","6,373","4,353","8,938","6,373","3,841"
New Zealand,"5,641",513,953,411,662,536,873,939,754
Others,521,54,76,121,67,75,44,58,26
Total,"1,005,605","148,329","114,334","168,631","100,365","68,504","193,357","130,420","81,665"
