0,1,2,3
,Tourist Arrivals by Country of Residence & Mode of Transport - 2012,,
Country of,,By Air,Sea
Residence,Total,Katunayake,Colombo
NORTH AMERICA,"59,236","58,894",342
Canada,"29,329","29,186",143
U.S.A.,"29,907","29,708",199
LATIN AMERICA &,,,
THE CARIBBEAN,"1,626","1,614",12
WESTERN EUROPE,"373,063","371,599","1,464"
Austria,"7,991","7,815",176
Belgium,"11,323","11,184",139
Denmark,"8,323","8,250",73
Finland,"4,840","4,806",34
France,"56,863","56,765",98
Germany,"71,642","71,391",251
Italy,"15,871","15,806",65
Netherlands,"26,754","26,642",112
Norway,"7,703","7,669",34
Spain,"8,319","8,307",12
Sweden,"13,775","13,716",59
Switzerland,"20,054","19,997",57
U.K,"114,218","113,883",335
Others,"5,387","5,368",19
EASTERN EUROPE,"72,401","72,013",388
Russia,"28,402","28,203",199
Others,"43,999","43,810",189
AFRICA,"5,045","5,023",22
MIDDLE EAST,"56,169","56,140",29
ASIA,"380,289","379,660",629
China (PR),"25,781","25,662",119
"Hong Kong, China","1,535","1,503",32
India,"176,340","176,075",265
Indonesia,"2,890","2,890",0
Japan,"26,085","25,996",89
Korea (South),"7,838","7,806",32
Malaysia,"21,776","21,776",
Maldives,"47,572","47,572",0 0 0 0
Pakistan,"16,056","16,056",
Philippines,"5,687","5,687",
Singapore,"17,273","17,181",92
Thailand,"7,897","7,897",
Taiwan (P.C.),"12,703","12,703",0 0 0
Others,"10,856","10,856",
AUSTRALASIA,"57,776","57,526",250
Australia,"51,614","51,452",162
New Zealand,"5,641","5,553",88
Others,521,521,0
Total,"1,005,605","1,002,469","3,136"
