0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, October 2023",,,,,
,,,Tourist Arrivals (October 2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,,,,
,,By Air,By Sea,Total,(October 2022)
,India,"28,222",0,"28,222","8,862"
1,,,,,
2,Russian Federation,"10,629",0,"10,629","6,189"
3,United Kingdom,"8,454",0,"8,454","4,275"
4,Germany,"7,548",0,"7,548","2,881"
5,China,"6,211",0,"6,211",468
6,Australia,"4,977",0,"4,977","2,106"
7,Maldives,"3,862",0,"3,862","1,943"
8,France,"2,956",0,"2,956","1,540"
9,United States,"2,651",0,"2,651","1,253"
10,Spain,"2,488",0,"2,488",799
